Company,Job title,Location,Salary,Salary estimate,Employees,Founded,Company type,Company industry,Company sector,Company revenue,Career opportunities,Comp & Benefits,Culture & Values,Senior Management,Work/Life Balance,Description
"DaVita
3.4",Senior Legal Counsel - Data Privacy,"London, England",£110K - £117K (Glassdoor Est.),"£113,310 /yr (est.)",10000+ Employees,1994,Company - Public,Healthcare Services & Hospitals,Healthcare,$2 to $5 billion (USD),3.4,3.2,3.4,2.9,3.0,"DaVita International delivers dialysis care to over 40,000 patients across 350 clinics in 10 different markets covering Europe, Asia Pacific and Latin America. Our parent company, DaVita Inc. is one of the largest health care providers in the United States.
Over the last decade, we set out to be the world's greatest dialysis company, and over the next decade, we are poised to build the greatest healthcare community the world has ever seen. When you join the International DaVita Village, you're joining a winning team.

As Senior Legal Counsel Data Privacy at DaVita International your responsibility will be to ensure DaVita International’s compliance with all Data Privacy (DP) laws and regulations in multiple jurisdictions spanning the globe (excluding the USA). You will report to the General Counsel of DaVita International with a dotted line to the enterprise Chief Privacy Officer, who is based in the USA.
What will you be doing?
Develop, implement, and share privacy and data protection policies and best practices across the different jurisdictions and with the US DP team
Assist with DP breaches in coordination with US DP team and local DP officers in each jurisdiction, as appropriate
Provide privacy risk management advice, strategic guidance and support to other functional lanes including Compliance, IT, People Services (HR), and Clinical teams
Advise the International team on privacy risk and maintaining a privacy risk register
Perform audits in each jurisdiction to determine our compliance with local regulations
Support and arrange for training on DP compliance for employees
Actively liaise with US DP team on international DP governance matters
Engage in DP related Due Diligence on M&A transactions
Dotted line functional supervision and direction over in-country DP officers in DaVita International markets

What you’ll need to succeed?
Qualified Lawyer with at least 5 years PQE experience of data privacy law (including GDPR) in an international setting gained in private practice at a law firm, relevant government regulator, and/or in-house legal department at an international organization,
Relevant International Association of Privacy Professionals (IAPP) Certified Information Privacy Professional (CIPP) certifications (e.g., CIPP/E, CIPP/A) preferred.
Proven experience conducting data privacy compliance audits and the design and implementation of improvement plans
Desire to be part of a fun, yet hard-working team
A proactive, innovative and pragmatic approach to problem solving and an ability to think critically and independently with attention to detail
Effectiveness and fluency in English (native or near native speaker level)
Experience in healthcare is a plus
Live, uphold and model Company’s core values of Service Excellence, Integrity, Team, Continuous Improvement, Accountability, Fulfilment and Fun

What can you expect when you join our Village?
A competitive market rate salary
6% Employer pension contributions
Private Medical Insurance & Dental Cover
25 days holiday (33 including bank holidays)
A comprehensive benefit package including Life Assurance, Income Protection & Employee Assistant Programme
Performance-based rewards based on stellar individual and team contributions
A ""community first, company second"" culture based on Core Values that really matter
An exciting, collaborative and driven multinational environment
Dedication, above all, to caring for our patients and teammates
Show Less
Report"
"Haver Analytics
3.6",Economic Data Manager,"London, England",£110K - £117K (Glassdoor Est.),"£28,500 /yr (est.)",51 to 200 Employees,1978,Company - Private,Business Consulting,Management & Consulting,$25 to $50 million (USD),2.7,3.1,3.7,3.3,3.9,"NYC based company has entry level positions available with our economic data group in our London office located in the City. We are seeking energetic candidates with a Masters degree in Economics :to join our growing team of data manager professionals.
Recent university graduates are encouraged to apply.: We are looking for candidates who are detail oriented and have good computer and communication skills.

The position includes tracking time-sensitive economic and financial time series from sources to update our databases, running quality assurance checks and researching output, organizing and adding new surveys, and providing client support of our data content and proprietary software.
Positions are available focusing on European country macroeconomic data or global high frequency financial data with a starting salary range of £28K-29K. Hours are from 7am to 4:30pm. Fluency in another language is a plus.
We are working in a flexible, hybrid environment of 2 days per week in-person at our office. All employees need to be fully vaccinated. You will need a computer with good internet connectivity at home.

This is an excellent opportunity to learn about important economic and financial indicators that the community of economists, strategists and risk managers within the corporate marketplace and public sector rely on.
Please visit http://www.haver.com to learn more about us.
Requirements:
Submit cover letter and resume:
have a Masters degree in economics: that states your degree classification.
live within commuting distance.
be detail oriented and have good computer and communication skills.
Benefits:
review and salary raise every 6 months
annual performance-related bonus
eligible for company profit sharing after 6 months
tuition reimbursement for work-related courses
Show Less
Report"
"Adeccogroup
3.8",Data Visualisation Manager (Hybrid/Remote),"London, England",£110K - £117K (Glassdoor Est.),-1,10000+ Employees,-1,Company - Public,HR Consulting,Human Resources & Staffing,$10+ billion (USD),3.6,3.3,3.7,3.5,3.8,"About the role
We currently have an exciting opportunity available for an experienced Data Visualisation Manager. As a leader within the Data, Insights and Analytics function, you will be an inspirational figurehead in driving the necessary transformations to deliver success for The Adecco Group UK&I.
The Data Visualisation Manager will form part of the leadership team within our function, alongside colleagues covering Data Management, Data Engineering, Data Analytics, Data Science and Data Culture. This role will drive the strategy and tactical actions necessary to design, develop and deliver visualisations, dashboards and reports to internal and external customers. Our output is leveraged at the most senior levels of UK&I leadership at critical decision points, as well as forming a vital part of our most high-profile external customer relationships.

What you'll be doing
Own the Data Visualisation team’s backlog, prioritisation, and communication with customers
Own the data visualisation platform, and any security implementations
Ensure highest-quality visual output is available for use by customers
Define the necessary policies, processes and ways-of-working within the team
Design the team to best deliver on function strategy
Provide technical and design guidance to team members
Develop job specifications and manage Data Visualisation recruitment processes
Define the data, tools and techniques required to deliver
Oversee all data visualisation and reporting development within the team
Define the Data Visualisation Policy for our function
Implement governance requirements from Data Management
Minimise friction for customers in accessibility to data and insight
Ensure resources are efficiently deployed, minimising resource wastage, with RoI responsibility
Co-ordinate effectively with colleagues within our function
Build solid relationships across dependencies and stakeholders
Advocate for and represent DIA professionally
Lead, manage and development the team
Create a culture of independence, autonomy, collaboration, innovation and excellence
About you
Experience of management and leadership within data visualisation
Experience of stakeholder management, with strong communication skills between the data and business environments
Significant experience with visualisation tools, preferably PowerBI
Knowledge of best-practice visualisation design and methodology
(Desirable) Knowledge of cloud data storage solutions such as Azure
(Desirable) Data modelling experience
Why choose us?
It’s an exciting time to be part of our team. We’re proud to be a global thought-leader and care about doing the best job we can to ensure better futures for everyone. We do this by building our Future@Work strategy as a united team of 30,000+ colleagues with a collective spirit working in over 60 countries globally.
You’ll have the opportunity to grow across a variety of interesting jobs and careers over our extensive portfolio of global brands. We empower our colleagues to work in the smartest, most efficient ways to achieve total balance between the demands of their jobs and their lives. That’s why we give you the autonomy and support you need to work in the way that makes you most productive, agile, confident, and insightful.
Putting people first, pioneering with a collective spirit and always advancing with a growth mindset -that’s what we stand for at the Adecco Group. Here, we are all individuals with a unique perspective on the world we live in. That’s what makes us stronger. Whoever you are and whatever your background, you can be yourself. So, we aim to build on the attributes that make you, you. We offer a range of world-class resources for upskilling and development, satisfying your curiosity while the sharing skills, knowledge, and expertise to grow together.
Make an impact where it matters most.
A journey to bring out the best in you
We believe that having an understanding of the hiring process helps you to prepare, feel, and be, at your best. As a global, multi brand organisation with multiple different roles, our application process can vary.
On our career site, you will find some of the key steps you can expect to guide you along the way.
As one of the world’s largest employers we believe in talent, not labels, and focus on the diverse and unique skills our people bring. We seek to foster a culture of belonging and purpose, an environment where everyone can thrive and feel engaged, and where difference is respected and valued. Our commitment to equity, equal opportunity, inclusion, and diversity is part of our broader commitment to respecting fundamental human rights across our value chain. The Adecco Group is proud to be an Equal Opportunity Employer.
#LI-UK/I
Show Less
Report"
"Network Homes
4.0",Reports and Data Officer (12 Month Maternity Cover),"Hertford, England",£110K - £117K (Glassdoor Est.),"£32,290 /yr (est.)",501 to 1000 Employees,2016,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,3.5,3.7,4.3,3.7,3.7,"Reports and Data Officer (12 Month Maternity Cover)
Location: Hertford, SG13 7HH
Salary: £32,290.00
Closing Date: Sunday 29 January 2023
About the role

To provide a responsive, customer-focused service to all contacts through effective and accurate reports and data analysis, provision & support.

To contribute to a high level of customer satisfaction, as part of the organisation’s customer service strategy.

To continuously improve data quality and promote the use of information for decision making through reviewing business processes and other targeted projects as required.

About Network Homes

We are a charitable housing association driven by social objectives to make a positive impact on the places we work in, for the long-term. We have an ambition to build a thousand new homes a year, deliver first class customer service and strengthen our residents trust in us as a landlord.

We own and manage over 20,000 homes across London, Hertfordshire and the South East and are a sector leader amongst the G15 group of London’s largest housing associations. We fundamentally believe in the importance to everyone of a safe, secure, and decent home.

We foster a positive working culture because we’re passionate about our people. Recognised as a Sunday Times 100 Employer in 2019 we have outstanding levels of engagement amongst our people. And we’re focused on becoming even smarter, better, faster, and stronger with our digital transformation programme as we look forward to our recent move into our brand new, modern, stylish offices which we moved into in July 2020.

Network Homes is firmly committed to making sure that our organisation and the communities in which we work are safe places for people to be who they are and live the way they choose. The commitment was recognised at the Housing Heroes awards 2019 where our Equality and Diversity Engagement Group picked up a key award and is demonstrated by us being founding partners for Leadership 2025, the initiative to increase the ethnic diversity of housing’s leadership, and Pledge Pioneers for House Proud, a scheme designed to ensure Lesbian, Gay, Bisexual, Trans and Queer residents can enjoy their homes without fear of discrimination.

Rewards and Benefits

We’re committed to making Network a really great place to work. As well as offering a positive culture we offer a generous pay and benefits package, some of which are listed below:

27 days annual leave – plus an extra day for every year of service
Ability to buy or sell up to five days annual leave per year
Employer matching contribution for pension between 4% and 10%
Flexible and agile working
Season ticket loan
Health & Wellbeing benefits
Perkbox – offering loads of discounts in popular restaurants/movie tickets/gym etc.

We really care about personal development so this role will offer an excellent opportunity for you to develop your career, but also to make a real impact and difference to the service we provide to our customers.

Disability Confident Commitment

We are committed to equal opportunities. We guarantee an interview to anyone with a disability whose application meets the minimum criteria for our post.
Start your job application: click Apply Now
Show Less
Report"
"QVC
3.4",Senior Data Engineer (m/f/d),"Chiswick, England",£110K - £117K (Glassdoor Est.),"£51,624 /yr (est.)",10000+ Employees,2018,Company - Public,Other Retail Shops,Retail & Wholesale,$10+ billion (USD),3.2,3.5,3.4,3.1,3.4,"Essential Duties:
Partnering with global and local software and infrastructure teams on Data Platforms modernization initiatives including building out automation to provision and configure systems quickly
As a Data Platform Engineer, you are responsible for the setup, deployment, and productionising of data-intensive environments. You develop infrastructure as code that will support the setup of the self-service data platform.
Build and maintain Data platform engineering systems cloud compute platforms in a hybrid configuration with systems deployed both to on-premises data centers and cloud (Azure) environments.
Provide third level support and troubleshooting for issues escalated on installed technical solutions
Implement recommendations to ensure optimal performance and reliability for mission critical and global enterprise systems
Work with broader Platform Engineering organization in leading the evaluation of new technologies relative to their domain(s) and makes strategic recommendations
Work with Platform Engineering teams to design environments that optimize our efficiency in delivering value to our customers and the business
Analyze the technology options/feasibility and define the build, delivery, and deployment pipeline for applications
Design and implement tools, plan for future updates, help maintain and update our teams infrastructure
Your Profile:
A Bachelor's Degree in Computer Science, Engineering, or related field or a combination of education and experience
Experience with Data platforms technologies such as Oracle, SQL Server, MySQL, Maria-DB or Eloquence
Experience with infrastructure monitoring (Dynatrace, Icinga)
Experience with Infrastructure-as-Code concepts and tools (Ansible, Terraform)
Strong Knowledge of Microsoft Azure or a similar cloud platform (AWS, GCP, etc.)
What we offer:
Open and dynamic working atmosphere
Attractive remuneration model
Flexible working time model with flexitime regulation to promote work-life balance (including overtime regulation)
Offers within the framework of company health management
20% employee discount on the QVC product range
Employer-funded pension
Wide range of training opportunities
Job Type: Permanent
Benefits:
Flexitime
Work from home
Schedule:
Monday to Friday
Supplemental pay types:
Bonus scheme
Show Less
Report"
"Vanguard
3.7",Global Investment Data Manager,"London, England",£110K - £117K (Glassdoor Est.),"£70,410 /yr (est.)",10000+ Employees,1975,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable,3.6,3.4,3.8,3.2,3.8,"Join us and help support data driven decision making and the financial futures of investors!
Vanguard’s Global Investment Data Management team has a Global Investment Data Manager opportunity open in London. To lead a team of specialists to provide standardized data operations in acquisition, analysis, and distribution services to front, middle and back-office teams, and other enterprise data clients and internal partners and stakeholders. You will operate and collaborate as part of a globalized investment data management group, ensuring the team’s services meet data consumer expectations, anticipating client needs and leading and collaborating in initiatives to improve service delivery.
In this role, you will:
Manage a team, creating an engaged and positive team atmosphere. Provides guidance, training and motivation as necessary to develop staff. Hires, evaluates, and counsels personnel. Follows corporate disciplinary procedures per established Vanguard standards, as required. Sets challenging performance standards, reviews performance, provides feedback, and recommends wage increases in accordance with all applicable Human Resources policies and procedures.
Lead a team of specialists and managers to provide data acquisition, analysis, and distribution services front, middle and back-office teams; and other enterprise data clients and internal partners and stakeholders enhancing investment decisions, and fund oversight. Accountable for meeting the tactical and strategic objectives of Global Investment Data Management and to ensure team’s service meets data consumer expectations. Contributes to the advancement and provide leadership in support of Vanguard’s global investment data management strategy.
Evaluate team performance through the use of metrics and uses this data to identify, track, and measure improvement initiatives. Obtains client feedback and coaches and develops crew to continually improve service delivery and the client experience.
Proactively identify and mitigate external events and regulatory changes that impact team. Anticipates client needs and develops impact and mitigation approaches. Accountable for team’s adherence to Vanguard’s policies.
Lead a team in its support of new projects and initiatives. Considers global impact of changes to team and clients and ensures clear communication and smooth implementation. Enables change by setting a vision for the team that aligns with department and enterprise goals. Influences crew to work together to reach vision and aspirational goals.
Develop and implement plans to achieve departmental and corporate objectives. Maintains a compliant and high-performing service environment, ensuring service level agreements are met and continuously improved upon. Sets measurable goals and examines ways to raise standards, to increase quality, and to improve overall performance of the unit. Works with management in the planning, development, and execution of short and long-range goals.
Manages stakeholders relationships, while understanding needs to prioritize team action. Fully understands impact of team’s service activities to support resource planning and drives a client-first culture through the development of strategic relationships with leaders and internal clients.
Continue to develop knowledge of financial markets, securities, and global investment data themes to bring an informed perspective to the data management process and help drive strategies. Understands key drivers that impact the team and its clients, utilizing knowledge to identify opportunities that enable the operations to continuously improve.
What it takes:
Undergraduate degree or equivalent combination of training and experience.
Experience in a team management position with a passion for team personal development and growth
Demonstrated expertise of financial concepts and analytical capabilities.
Ability to quickly become knowledgeable in current and future policies, practices, trends, and information affecting the Data Management organization with a commitment to enhancing knowledge of global financial services industry.
Exceptional client relationship, leadership, organizational and interpersonal skills. Proven ability to effectively communicate with external providers, internal business clients and personnel at all levels.
Excellent judgment and ability to analyze issues quickly and independently to take appropriate action with minimal supervision.
Demonstrated ability to function in a fast paced, ambiguous working environment with multiple and diverse responsibilities.
Demonstrated ability to lead and motivate others. Excellent leadership and interpersonal skills. Ability to lead initiatives to desired conclusion while fostering teamwork and development.
Advanced knowledge and skills using current versions of the Microsoft Office Suite.
Special Factors
Vanguard is not offering visa sponsorship for this position
INTERNAL CREW, CONTRACTOR & DIRECT APPLICATIONS ONLY.
Please note, current suppliers and potential suppliers are not permitted to communicate with or contact or send or otherwise provide any speculative resumes to any department, business unit, subsidiary or affiliate of Vanguard, or any employee thereof, at any time unless expressly instructed or permitted by a member of Vanguard’s HR department. For the avoidance of doubt, Vanguard will not pay any fees to a supplier or potential supplier in respect of any candidate unless Vanguard HR has either requested the referral or given its prior written consent to the referral. If you would like to partner with Vanguard Europe, please contact recruitment_europe@vanguard.com
About Vanguard
We are Vanguard.
Together, we’re changing the way the world invests.
For us, investing doesn’t just end in value. It starts with values. Because when you invest with courage, when you invest with clarity, and when you invest with care, you can get so much more in return. We invest with purpose – and that’s how we’ve become a global market leader. Here, we grow by doing the right thing for the people we serve. And so can you.
We want to make success accessible to everyone. This is our opportunity. Let’s make it count.
Inclusion Statement
Vanguard’s continued commitment to diversity and inclusion is firmly rooted in our culture. Every decision we make to best serve our clients, crew (internally employees are referred to as crew), and communities is guided by one simple statement: “Do the right thing.”
We believe that a critical aspect of doing the right thing requires building diverse, inclusive, and highly effective teams of individuals who are as unique as the clients they serve. We empower our crew to contribute their distinct strengths to achieving Vanguard’s core purpose through our values.
When all crew members feel valued and included, our ability to collaborate and innovate is amplified, and we are united in delivering on Vanguard's core purpose.
Our core purpose: To take a stand for all investors, to treat them fairly, and to give them the best chance for investment success.
Future of Work
During the pandemic, we transitioned to a work from home model for the majority of our crew and we continue to interview, hire, and on-board future crew remotely.
As we have developed the path forward, we have taken a thoughtful approach that both maximizes the advantages of working remotely and the many benefits of coming together and collaborating in a shared workspace. We believe that in-person interactions among our crew are important for preserving our unique culture and advantageous for the personal development of our crew.
When our Crew return to the office, many will work in our hybrid model. A smaller proportion of our crew will operate in the Work from Home work model (for example, field sales crew); or in the Work from Office model (for example, portfolio managers).
The working model that your role falls into will be communicated to you in the interview process – please do ask if you are unsure. We encourage you to make the decision regarding your job interview and offer knowing which model your role will fall into. We will test and learn as our ways of working evolve and will continue to evaluate working models along the way.
Show Less
Report"
UM for Network Rail,Level 4 Data Analysis apprenticeship scheme,"London, England",£110K - £117K (Glassdoor Est.),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Making evidence-based decisions matters
If problem solving and collecting data matters to you, you matter to us.
A Data Analyst Apprenticeship with Network Rail provides you with the chance to find out how data can be used in order to answer questions and solve problems. In your role, you will play a crucial part in helping to make decisions more evidence-based and, most importantly, help Network Rail operate more effectively.
Our Data Analyst Apprentices will be joined by experienced colleagues who will help you learn and develop. Once you work independently, you can apply your skills to help with the successful management of some of our biggest projects.
We offer generous study support with our apprenticeships and once you complete your qualification, there are multiple career options for you to further your development within Network Rail.
Overview
· You will begin with a competitive starting salary, and this will increase throughout the scheme as you develop.
· The scheme lasts for two years.
· You will be based in York , Doncaster , London
· The scheme will be a combination of online and classroom-based study.
Who you are matters
We’re looking for sharp thinkers and those with a curious mind. People who enjoy working in a team but are also confident to work alone with their own judgement to make decisions.
No one day will be the same in this role. You’ll be working in different areas and aspects of Network Rail as you learn about the future of the business and its contribution to the country.
At Network Rail, we invest in your future, exposing you to the different areas and aspects because you will play a key role in future of the organisation and its contribution to the country. In return, we respect individuals who are driven, hardworking and uphold Network Rail’s values and behaviours.
What you’ll be doing
You’ll get hands-on experience working across multiple projects which will help you develop an understanding of how evidence-based analysis plays a vital role in the running of Network Rail. You’ll become a pro in data handling and will be taught a range of analytical techniques to help identify and predict trends and patterns in data. You’ll play a key part in investigating and solving complex problems to prevent their reoccurrence. As data analysis is such a fast-moving environment, it’s imperative that you keep informed of industry trends including data languages, tools, software and lessons learnt elsewhere.
What you’ll get out of it
Once you’ve completed the Level 4 Data Analyst apprentice programme, you will have the opportunity to progress further within Network Rail.
The opportunities it leads to
Many of the apprentices further their career progression within Network Rail, taking on roles such as Planner or Programme Controls Manager.
Job Types: Full-time, Apprenticeship
Benefits:
Company pension
Cycle to work scheme
Employee discount
Free or subsidised travel
Life insurance
Schedule:
Monday to Friday
Supplemental pay types:
Bonus scheme
Work Location: One location
Expected start date: 01/09/2023
Show Less
Report"
"CGI
3.9",Data Architect,"London, England",£110K - £117K (Glassdoor Est.),"£55,634 /yr (est.)",10000+ Employees,1976,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD),3.7,3.3,3.9,3.6,3.9,"Job Description Data Architect

Position Description
CGI are currently looking for a Data Architect to come and join our Secure Innovation & Advisory team which is part of CGI’s Space, Defence and Intelligence business unit. The area is focused primarily on the delivery of contemporary and innovative technical solutions for the government agencies most challenging problems. Our teams work alongside our clients to help them understand how to exploit technologies to maintain competitive advantage. The SIA team is heavily committed to developing our members and will provide excellent learning and development opportunities to ensure that your knowledge and skills keep pace with the evolving technology landscape. We engender a culture of innovation, collaboration and ownership; highly motivated self-starters thrive within our organisation.



Your future duties and responsibilities
Identify, prioritise and addresses concerns related to the solution, including risk and financial aspects
Communicate with business, delivery and operational stakeholders about the end-to-end solution
Models the solution's context, structure and financial aspects
Assures that the solution fulfils its present and anticipated end-to-end architectural requirements and financial constraints by analysis, validation, modelling and road mapping
Supports teams delivering and operating the solution


Required qualifications to be successful in this role
Supports teams delivering and operating the solution
Data Architecture experience
Exposure to working with Enterprise Data Catalogues
Data entity design and implementation
Proficiency in data modelling techniques
Knowledge of ArchiMate modelling language
Data Centric
Understanding of Cloud

Security Clearance: Must be UK national – and either hold, or willing to gain higher level Security Cleared (SC).

Working pattern: due to the secure nature of the work we are operating with a hybrid working policy. We would expect our members to be in their local office as and when required. Some travel to other CGI or client sites might be required (all travel away from your base office is expensed)

Unconditionally inclusive – we know diversity brings a great greater variety of ideas, perspectives and experiences to the workplace. We actively encourage diversity at CGI and inclusivity is one of our top priorities, with support networks for Parents, Women, LGBT+, BAME, Neurodiversity and Disability.

#LI-CGISDI
#INDCGI
#IND



Insights you can act on

While technology is at the heart of our clients’ digital transformation, we understand that people are at the heart of business success.

When you join CGI, you become a trusted advisor, collaborating with colleagues and clients to bring forward actionable insights that deliver meaningful and sustainable outcomes. We call our employees ""members"" because they are CGI shareholders and owners and owners who enjoy working and growing together to build a company we are proud of. This has been our Dream since 1976, and it has brought us to where we are today — one of the world’s largest independent providers of IT and business consulting services.

At CGI, we recognize the richness that diversity brings. We strive to create a work culture where all belong and collaborate with clients in building more inclusive communities. As an equal-opportunity employer, we want to empower all our members to succeed and grow. If you require an accommodation at any point during the recruitment process, please let us know. We will be happy to assist.

Ready to become part of our success story? Join CGI — where your ideas and actions make a difference.




Skills
Data Analysis
Data Architecture
Data Engineering
Data Modeling
Cloud Computing
Show Less
Report"
"Knight Frank
3.8",Data Architect,"London, England",£110K - £117K (Glassdoor Est.),"£80,409 /yr (est.)",10000+ Employees,1896,Company - Private,Real Estate,Real Estate,$100 to $500 million (USD),3.5,3.2,3.6,3.4,3.5,"Reference No
27731

Job Title
Data Architect

Type
Permanent

Salary Range
Competitive

Division
Residential

Sub Division
Research

Department
Residential Research (10000116)

Location
55 Baker Street


Knight Frank is the leading independent property consultancy in the UK offering agency and professional advice across Commercial, Residential and Rural sectors. Established in 1897, Knight Frank now comprises a global network of over 400 offices.

Due to the rapid growth of data and analytics capabilities within the organisation, an exciting new role has opened for a Data Architect to strengthen and advance efficiencies and organisation of multiple company datasets. Supported by the wider team you will be required to review the current database structure and tables and highlight tables for archive. You will advise on best practice within architecture, design, and coding areas.

The role will require someone who has strong SQL Server and Data Warehouse developer background. You will have the tenacity to see through complex problems as well as the vision and spontaneity to contribute new ideas that gain traction within Residential Research.

Responsibilities

Review of Residential Research’s server structure and tables
Archive redundant datasets
Apply consistent naming convention
Maintain accurate and complete architecture documents
Perform performance optimisation and maintenance on tables
Write clean, effective, and reusable code with notes for others throughout

Experience

Building Enterprise Data Warehouse
Have strong experience with Microsoft SQL or T-SQL for querying data
Experience in the Property sector
Experience in working with MS Azure Cloud Platform
Experience with Alteryx

Particular Aptitudes/Skills Required

Highly organised, systematic and adaptable with an excellent attention to detail, with the ability to prioritise work effectively
Ability to work within a high-pressure environment, balance priorities and remain calm under pressure
The successful candidate will be self-motivated, organised and pro-active with excellent computing and administration skills.
A “hands on” attitude and possess the necessary skills, manner and experience to provide an effective

#1 #LI-AL1
Show Less
Report"
"ClinChoice
4.1",SR/Principal Clinical BioStatistician-Remote-Independent Contractor,"London, England",£110K - £117K (Glassdoor Est.),"£54,236 /yr (est.)",1001 to 5000 Employees,1995,Company - Private,Pharmaceutical,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.9,3.4,3.9,3.8,3.9,"About ClinChoice
ClinChoice is a clinical CRO dedicated to offering high-quality full development service to biopharmaceutical, medical device, and consumer products clients. Our services include clinical operations, project management, biostatistics, data management, regulatory affairs, medical affairs, and pharmacovigilance. ClinChoice has established major offices across US, China, Europe, India, Japan, and the Philippines with over 2,400 employees globally.
The Senior/Principal Biostatistician serves a lead role on projects. He/she interacts with team members in designing and analyzing clinical trials. Responsibilities include, but are not limited to:
Responsible for protocol development including study design, sample size estimation, randomization, and statistical analysis plan for assigned studies.
Provide statistical oversight to studies and assure adequate quality and consistency with project requirements.
Responsible for accuracy and completeness of database quality checks.
Responsible for assuring that data for statistical analyses are complete, accurate and consistent.
Responsible for statistical analysis plans and the accuracy and timeliness of statistical input into reports or decisions.
Responsible for validity of analysis and alternative analysis strategies when unforeseen circumstances arise.
Demonstrates extensive understanding of statistical concepts and methodologies. Recognizes and corrects flaws in scientific reasoning and statistical interpretation.
Responsible for accuracy and consistency of statistical tables, figures, and data listings, accuracy of report text, and consistency between summary tables in the body of reports and the corresponding source tables and listings.
Responsible for statistical methods section for the reports. Identifies and corrects flaws in interpretation of results, inconsistency in presentation or inference, adherence to the report guidelines, and assures project-wide consistency.
Effectively mentor non-statistical peers with regards to statistical methodology and provide appropriate background, motivation, and training to junior statisticians.
Effectively coordinate assignments and review deliverables so that projects are delivered on time with high quality.
For Principal Level - Above plus
Effectively mentor peers with regards to statistical methodology and provide appropriate training to less experienced statisticians.
Manage activities of statisticians across projects by appropriately coordinating assignments and reviewing work so that projects are delivered on time with high quality.
Qualifications
MS or PhD in Statistics, Biostatistics or related field. PhD with 2+ years of experience or MS with 4+ years of experience. For Principal level, MS with 6+ years or PhD with 3+ years
High degree of technical competence and communication skill, both oral and written.
Competent in experimental design, descriptive and inferential statistics.
Pharmaceutical, CRO, or related industry experience with clinical trials.
ClinChoice is an Equal Opportunity Employer / Committed to Diversity
Job Types: Full-time, Fixed term contract
Contract length: 12 months
Pay: £1.00-£1.01 per hour
Schedule:
8 hour shift
Education:
Master's (required)
Experience:
SAS: 5 years (required)
Clinical research: 5 years (required)
Show Less
Report"
