Company,Job title,Location,Salary,Salary estimate,Employees,Founded,Company type,Company industry,Company sector,Company revenue,Career opportunities,Comp & Benefits,Culture & Values,Senior Management,Work/Life Balance,Description
UM for Network Rail,Level 4 Data Analysis apprenticeship scheme,"London, England",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Making evidence-based decisions matters
If problem solving and collecting data matters to you, you matter to us.
A Data Analyst Apprenticeship with Network Rail provides you with the chance to find out how data can be used in order to answer questions and solve problems. In your role, you will play a crucial part in helping to make decisions more evidence-based and, most importantly, help Network Rail operate more effectively.
Our Data Analyst Apprentices will be joined by experienced colleagues who will help you learn and develop. Once you work independently, you can apply your skills to help with the successful management of some of our biggest projects.
We offer generous study support with our apprenticeships and once you complete your qualification, there are multiple career options for you to further your development within Network Rail.
Overview
· You will begin with a competitive starting salary, and this will increase throughout the scheme as you develop.
· The scheme lasts for two years.
· You will be based in York , Doncaster , London
· The scheme will be a combination of online and classroom-based study.
Who you are matters
We’re looking for sharp thinkers and those with a curious mind. People who enjoy working in a team but are also confident to work alone with their own judgement to make decisions.
No one day will be the same in this role. You’ll be working in different areas and aspects of Network Rail as you learn about the future of the business and its contribution to the country.
At Network Rail, we invest in your future, exposing you to the different areas and aspects because you will play a key role in future of the organisation and its contribution to the country. In return, we respect individuals who are driven, hardworking and uphold Network Rail’s values and behaviours.
What you’ll be doing
You’ll get hands-on experience working across multiple projects which will help you develop an understanding of how evidence-based analysis plays a vital role in the running of Network Rail. You’ll become a pro in data handling and will be taught a range of analytical techniques to help identify and predict trends and patterns in data. You’ll play a key part in investigating and solving complex problems to prevent their reoccurrence. As data analysis is such a fast-moving environment, it’s imperative that you keep informed of industry trends including data languages, tools, software and lessons learnt elsewhere.
What you’ll get out of it
Once you’ve completed the Level 4 Data Analyst apprentice programme, you will have the opportunity to progress further within Network Rail.
The opportunities it leads to
Many of the apprentices further their career progression within Network Rail, taking on roles such as Planner or Programme Controls Manager.
Job Types: Full-time, Apprenticeship
Benefits:
Company pension
Cycle to work scheme
Employee discount
Free or subsidised travel
Life insurance
Schedule:
Monday to Friday
Supplemental pay types:
Bonus scheme
Work Location: One location
Expected start date: 01/09/2023
Show Less
Report"
"Noir Consulting
5.0",BI Analyst,"London, England",-1,"£50,000 /yr (est.)",51 to 200 Employees,2005,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $50 million (USD),4.2,4.7,4.2,4.5,4.5,"My Client is a rapidly expanding Finance company and due to this growth they are looking to add a Business Intelligence Analyst to the team.
The BI Analyst will play a pivotal part in further developing the Analytic capability of the business by developing both short term quick wins and be part of the long term roadmap of developing and integrating the function with colleagues across the company.
Responsibilities
Extraction and analysis of data to the specifications required by the business
Regular reconciliation and validation of the daily reporting.
Liaise with the Sales Managers to gather requirements for future projects and to ensure alignment of strategic goals.
Build and maintain existing dashboard reports, assisting the Sales team with any queries or troubleshooting issues.
Provide proactive advice to the Sales Management Team around trends and opportunities as well as any recognizable retention issues.
Working cross-departmentally including Sales, Financial Reporting Team and Chief of Staff on KPI monitoring.
Involvement in Group PLC annual report and investor presentations with a focus on producing KPIs.
Requirements
In-depth SQL knowledge and understanding of relational schemas, ideally in Microsoft SQL Server
Some knowledge of procedural SQL, an ability to strip down stored procedures and functions to reverse engineer logic
Ability to build and manage BI reports
Ability to build and maintain dashboards, with drill downs
Experience with Tableau and/or proficient in BI products
Develop reports from the data warehouse
Ability to analyse large data sets
Digest concepts and effectively transfer this into actionable analysis
'Can do' attitude
Location: London (Hybrid)
Salary: £40-60k + competitive benefits
We look to recruit individuals from all different backgrounds and encourage you to apply even if you don't tick every box. We celebrate diversity, promote inclusivity and are open to discuss flexible work options to help you balance your work and home life.
NOIRUKNETREC
NOIRUKREC
Show Less
Report"
"Airbus
4.0",Reporting Analyst,United Kingdom,-1,-1,10000+ Employees,1970,Company - Public,Aerospace & Defence,Aerospace & Defence,$10+ billion (USD),3.7,3.8,3.8,3.4,4.0,"Job Description:
Security Clearance: Eligibility to gain UK SC Security Clearance
Location: Can be based out of Oakhanger (Bordon), Portsmouth or Corsham
Travel Required: Occasional travel within the UK between sites
First of all, what’s in it for you…
Financial Reward: Competitive salary, annual profit share, pension enhancements up to 8%, car leasing scheme, free onsite parking, share options, tax-free technology scheme, discounted shopping and much more
Work / Life Balance: 37 hour week, flexible working around core hours and Friday afternoons off, hybrid working, up to 2 additional days per month as TOIL, option to buy/sell holiday
Personal Development: Personalised development plan, Airbus Leadership University and unlimited access to 10,000+ E-learning courses, internal mobility including international opportunities
Health & Wellbeing: Wellbeing benefits (including 24/7 online GP and mental health support), Employee Assistance Programme, cycle-to-work scheme, discounted family health, dental insurance and eye tests, lunchtime yoga / meditation
Family and Caregiving: Enhanced pay for maternity, paternity, adoption and shared parental leave and caregiving
Our world is changing. And so are we. From our commitment to zero-carbon flight ( #ZEROe ) to cleaning up space , sustainability is at the heart of our purpose . So what's your next change?
About the role…
A new position has arisen for a Reporting Analyst to support with the comprehensive and extensive reporting requirement that is required under the Skynet Services Continuation Contract with the MoD. The Reporting Analyst will be a focal point for collating and delivering reports and analysis on this large and complex communications infrastructure programme.
This is a new role, with a real opportunity to make it your own.
How will you contribute to the team…
Co-ordination of Monthly and Quarterly data and information reports to the Skynet MoD Teams.
Liaison with internal and external agencies to obtain information where required to enable in depth analysis of data from the reports.
Attendance at internal and Customer meetings when required, providing input and presenting when necessary
Tracking and coordination of Airbus actions agreed at the Quarterly reporting meetings.
Production of other accurate, timely reports and analysis as required by the business.
About you…
Strong stakeholder management and not afraid to push for information in order to generate required reports
Experience of working with UK MoD or military contracts, with exposure to working in this type of environment
Analytically strong, with experience of generating reports turning data into useful & reliable information
Able to work autonomously with little direction to get results
Strong level of Microsoft Office experience, particularly Excel & PowerPoint
How can we support you…
Many of our staff work flexibly in many different ways, including part-time. Please talk to us at interview about the flexibility you need and we’ll always do our best to accommodate your request.
Please let us know if you need us to make any reasonable adjustments for the selection process – you can share this with your Talent Acquisition Partner if you are invited to interview. Examples may include (but not exclusive to) accessible facilities; auxiliary aids; room layout, etc. Any information disclosed will be treated in the strictest confidence.
#LI-LS1
This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.
Company:
AIRBUS Defence and Space Limited
Contract Type:
Permanent Contract / CDI / Unbefristet / Contrato indefinido
Experience Level:
Professional / Expérimenté(e) / Professionell / Profesional
Job Family:
Customer Eng.&Technical Support&Services <JF-CS-PS>
By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.
Airbus is, and always has been, committed to equal opportunities for all. As such, we will never ask for any type of monetary exchange in the frame of a recruitment process. Any impersonation of Airbus to do so should be reported to emsom@airbus.com .
At Airbus, we support you to work, connect and collaborate more easily and flexibly. Wherever possible, we foster flexible working arrangements to stimulate innovative thinking.
Show Less
Report"
"Macquarie Group Limited
4.3",Senior Analyst – Regulatory Affairs and Aggregate Risk (RAAR) – Stress Testing,"London, England",-1,"£66,229 /yr (est.)",10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),4.2,4.0,4.6,4.0,3.9,"Do you have an interest in understanding the risks faced by diversified financial institutions? Are you looking for a challenging role as part of a dynamic team? Join our Regulatory Affairs and Aggregate Risk (RAAR) team and play a key role in providing valuable insights across EMEA businesses and regulated entities risk profile and financial strength using the Enterprise-Wide Stress Testing frameworks.
As a member of the team, you will play a key role in the development of material components of our stress testing framework. You will have the opportunity to work with the risk frameworks that cover enterprise-wide stress testing, scenario design and risk identification; oversight of capital adequacy (ICAAP/ICARA), and climate risk scenario analysis.
The role offers plenty of exposure and you will have the opportunity to collaborate and connect with stakeholders in the EMEA region and globally, across the organisation. This will include with Macquarie’s operating businesses, Risk Management Group, Group Treasury, Finance, and senior management and entity Boards.
To be successful in this role, you will ideally bring the following key skills and experience:
Good knowledge of stress testing, and familiar with UK or EU regulatory requirements and guidance around stress testing and ICAAP or ICARA.
Experience in a related role or one which provides for transferable skills within a financial institution, consultancy practice, regulatory body or rating agency.
An academic background ideally with in a quantitative discipline, with an understanding of macroeconomics and risk management.
Keen and broad interest in financial markets, including current and prospective macro-economic, financial, commodity and asset management market trends.
Strong technical, analytical and programming skills (R, Python or similar) with the ability to communicate complex concepts to non-technical stakeholders at all levels.
A strong preference for working collaboratively with strong verbal, written, communication and presentation skills.
If this sounds like the opportunity to further build your career in finance than please apply via the link.
About the Risk Management Group
The Risk Management Group (RMG) is an independent, centralised unit responsible for ensuring all risk across Macquarie are appropriately assessed and managed. Its divisions include Behavioural Risk, Compliance, Credit, Financial Crime Risk, Internal Audit, Market Risk, Operational Risk, Regulatory Affairs and Aggregate Risk, and RMG Enterprise Support.
Our commitment to Diversity, Equity and Inclusion
The diversity of our people is one of our greatest strengths. An inclusive and equitable workplace enables us to embrace that diversity to deliver more innovative and sustainable solutions for our people, clients, shareholders and communities. At Macquarie, you'll be encouraged to be yourself and supported to perform at your best. If you're inspired to deliver on our purpose of ‘empowering people to innovate and invest for a better future’, we want you on our team. If you need adjustments made to the recruitment process, please reach out to your recruiter.
As an inclusive employer, Macquarie does not discriminate on the grounds of age, disability, sex, sexual orientation, gender identity or expression, marriage, civil partnership, pregnancy, maternity, race (including colour and ethnic or national origins), religion or belief.
Joining Macquarie means you’ll be able to work in a way that suits you best. With the right technology, support and resources, our people can work in a range of flexible ways. Talk to us about what working arrangements would help you thrive.

About Macquarie
A career at Macquarie means you’ll have the opportunity to develop and utilise new skills, explore interesting fields and do challenging work that will impact the lives of people around the world—whether it’s accelerating the green energy transition, helping sustain global food supplies, financing social housing projects or investing in essential infrastructure. At Macquarie, we’re empowering people to innovate and invest for a better future.
Our size and international presence means your work can take you anywhere—across business groups, disciplines, sectors and borders. With 18,000+ employees and offices in 33 markets around the world, we’re a truly global organisation.
You’ll be supported by a diverse team where the unique perspectives, ideas and experiences that all of our people bring are valued. You’ll be empowered to address unmet needs in our communities whilst advising and investing alongside our clients and partners. Working with us, you’ll have the opportunity to make a difference.
Macquarie is a global financial group providing clients with asset management, retail and business banking, wealth management, leasing and asset financing, market access, commodity trading, renewables development, specialist advisory, capital raising and principal investment.

Job no: RMG-970635
Work type: Permanent - Full time
Location: Dublin, London
Category: Junior, Risk Management
Group: Risk Management Group
Division: RAAR
Recruiter: Richard Dyson
Opening Date: 03/1/2023
Show Less
Report"
"Universal Music Group
3.1","Data Analyst – Kings Cross, London","London, England",-1,"£30,131 /yr (est.)",501 to 1000 Employees,1997,Company - Private,Audio/Visual,"Arts, Entertainment & Recreation",$100 to $500 million (USD),2.7,2.6,2.7,2.7,2.8,"Music is Universal

It’s the passionate and dedicated team at Universal Music who help make us the world’s leading music company. From A&R to finance, legal to digital, sales to marketing, Universal Music is the place to grow and develop your career within a truly commercial and innovative business that leads in everything it does.
Everyone is welcome to apply for our roles, and we are determined to ensure that no applicant or employee receives less favourable treatment because of gender, race, disability, sexual orientation, religion, belief, age, marital status, background, pregnancy, or caring responsibilities. We also recognise the importance of diversity of thought within our teams and are fully committed to embracing the talents of people with autism, dyslexia, ADHD, and other forms of neurocognitive variation.
We will always seek to make appropriate adjustments to recruitment, workplaces, and work processes to be fully inclusive to people with different needs and working styles. If you need us to make any reasonable adjustments for you from application onwards, including alternatives to the online form or to disclose a neurocognitive condition, please email UniversalMusicCareers@umusic.com.
The A Side: A Day in The Life
The Data Analyst role at EMI is integral to supporting the A&R, marketing and commercial teams in driving a culture of insight-based decision making and consistent feedback on our artists’ growth. Identifying the most valuable and impactful signifiers amongst the wealth of data available to us to tell the story in a relatable manner. Our goal is to empower our artists and label teams to make informed decisions based on those insights and ultimately deliver success.
The role will delve into the intersection of music and content consumption across all platforms, translating who and how fans are consuming, their behaviours, preferences and how growth can be positively impacted in this evolving landscape. Working closely with the marketing team and Fused, the Data Analyst will continue to build on the ‘test and learn’ roadmaps for our artists to grow and nurture superfans. Focussing on during and outside of release cycles, with an ‘always on’ approach through content and platform specific strategies.
Looking back is as important as forward, the Data Analyst will play a lead role in driving a culture of feedback and reflection through data, bringing all departments together to dissect performance and learn from artist’s campaigns to inform future decision making.
The Data Analyst will have experience using large sets of data and information and be confident in translating these into actionable insights, plus develop close working relationships with various central data teams including Fused, The Square, Global Data Strategy, Commercial Intelligence and also with social platforms where required.
The B Side: Skills & Experience
Be Analytical
Work closely with all relevant internal and external stakeholders to help find the marketing story within the huge wealth of data we sit upon.
Keep insights concise and easy to measure commercial impact including analysis of streaming and social data that translate to measurable KPI’s.
Most significantly focussing on the impact of organic sound usage across social platforms such as Tik Tok, Instagram and YouTube.
Combine commercial insights with contextual information on artists’ fans to build and deliver a full picture of an artists’ fanbase and how this evolves
Deliver both management friendly and internal updates
Create timely reports highlighting KPI’s of interest from artist to macro level, depending on commercial/label/artist needs.
Use of unique qualitative and quantitative information where relevant.
Be Operational
Build bespoke systems and processes to help speed up processes in a fast-paced environment.
Focus on improving the automation and data self-service across the label, collaborate across departments to help find solutions.
Attend meetings, gigs, showcases, conferences, and other events to represent the label where required.
Be Collaborative
Support key departments at EMI to ensure the successful interrogation of insight driven theories, feed into longer term planning.
Work with data specialists in labels & central teams – both in UK and internationally - to ensure we are fully across the latest changes in this area - evolve our current measurement frameworks including econometric modelling of performance data.
Contribute to long-term plan to effect positive change within the label using data & analysis
Personal specification
Experience in analysis role. SQL, Python or BigQuery knowledge would be a bonus.
Ability to be both creative and data driven.
Extremely digital savvy and quick to adopt trends.
Passionate at reading audiences and trends in the music landscape.
Exceptional communication, presentations and organization skills.
Artist focused and passionate about the music industry with a good knowledge of the digital and short form landscape.
Proactive attitude to work to deadlines, meet targets and multitask in a fast-paced environment.
Strong relationship building skills and a team-oriented approach.
Just so you know…
The company presents this job description as a guide to the major areas and duties for which the jobholder is accountable. However, the business operates in an environment that demands change and the jobholder's specific responsibilities and activities will vary and develop. Therefore, the job description should be seen as indicative and not as a permanent, definitive and exhaustive statement.
Just So You Know…
The company presents this job description as a guide to the major areas and duties for which the jobholder is accountable. However, the business operates in an environment that demands change and the jobholder's specific responsibilities and activities will vary and develop. Therefore, the job description should be seen as indicative and not as a permanent, definitive, and exhaustive statement.

Job Category:
Data, Analytics & Business Intelligence
Show Less
Report"
"PEI Media
4.2",Data Quality Analyst,"London, England",-1,"£42,500 /yr (est.)",51 to 200 Employees,2001,Company - Private,Publishing,Media & Communication,Unknown / Non-Applicable,3.8,3.7,4.1,3.8,4.3,"We at PEI Group are looking for a Data Quality Analyst to join our welcoming, diverse, and growing team based here in London. This Data Quality Analyst role is a new permanent position within our Central Data Office, with the opportunity to make a significant difference in the development and use of information across PEI, supporting our Data Governance team in delivery of their services across the organisation.

We are seeking a highly capable Data Quality Analyst to deliver key insights and help develop procedures to enhance the accuracy and integrity of our organisation's data. This role will monitor the quality of data from which PEI can make informed decisions, collaborating with business and technical team to improve our data systems.
Performing analyses on large datasets to determine data quality and integrity.
Reporting data analysis findings to management to inform business decisions and prioritize information system needs.
Experienced in managing project work within tight timescales in an agile way.
A detailed knowledge of the skills and processes required to deliver an excellent data quality capability.
A good communicator and advocate of the benefits of data quality.


This position has responsibility to support the improvement in the quality of data that PEI relies upon across its functions, and is expected to:

Work to continuously improve the data quality within PEI across our customer, financial and marketing information, with a focus on value.
Reporting data analysis findings to management to inform business decisions and prioritize information system needs.
Design, develop and support automated data dashboards and reporting tools for business stakeholders.
Able to manage a complex mix of work within tight timescales in an agile way.
A detailed knowledge of the skills and processes required to deliver an excellent data quality capability.
Experience in SQL.
Part of the Data Governance and Data Quality team. Team of 3.
Work closely with CRM Development team plus project related delivery.
Flexible approach to work location - home and office


Who we are:
PEI Group is a subscriber-focused business intelligence company. With our multi-talented global team of over 300 people, spread across EMEA, USA & Asia, our purpose is to inform and connect investment professionals across global, specialised markets. We identify specific high growth, high value investment sectors and themes where deep insight, strong market relationships and active capital flows are critical for success.
What we do:
PEI Group provides industry-leading journalism, data, and market insight to subscribing clients via a wide portfolio of specialist brands supported by our robust and scalable digital publishing, analytics, and database platform.
We also track the firms and individuals who shape markets and bring client-communities together to enable knowledge sharing, profile building and relationship development through professional networks and events.
Wherever our markets are active – in New York, Los Angeles, Tokyo, Sydney, Hong Kong, London and elsewhere – PEI is hard at work examining crucial market forces and shifting investment themes, identifying active investors and their capital allocations, and scanning ahead for regulatory changes, new compliance requirements and other risk factors.
Requirements
At least 3 years of experience in data quality analysis
Excellent communicator with experience of working closely with business stakeholders and technical departments.
Structured approach to problem solving, testing & documentation
Ability to assimilate information from a variety of sources and present well-reasoned recommendations back to the business.
We strive to ensure that opportunities to work and develop at PEI Group are fair, inclusive, and open to all. We welcome applications from all qualified candidates, regardless of age, disability, gender identity, or gender expression, race, ethnicity, religion or belief, sex, sexual orientation, or any other equality characteristic

PEI Group supports flexible working arrangements, and we welcome career returners.
Benefits
25 days annual leave (+8 bank holidays)
You deserve a break and are entitled to 25 days paid annual leave in addition to the 8 public/bank holidays. Long Service award PEI offer a scheme to increase an employee's holiday allowance according to length of service. After 2 years of service, you will receive an additional day’s annual leave, you will receive an extra day up to 4 years of service, taking you 28 days annual leave.
Holiday-Flex
Any permanent employee of PEI can buy from or sell PEI up to three holiday days. The value is calculated as 1/260th of the employee's current annual basic salary.
Flexible working policy
We know how busy life can get and believe it is very important to have a good work-life balance. That is why we have a comprehensive Flexible working policy so you can best fit work into your life.
4 days volunteer leave per year
Volunteer leave at PEI offers employees the option of taking 4 working days per year (fully paid) to give back to a charitable cause of their choice.
Life Cover
The Company provides you with life cover of 4 times your “basic salary”, as long as you are on a permanent contract with PEI.
Free access to Employee Assistance programme
The Company provides staff with access to a confidential employee assistance programme (EAP), which is available 24 hours a day, 365 days a year. The EAP provides access to trained experts either via the phone or on a face-t0-face basis.
Employee Referral scheme
We offer incentives for successfully recommending someone new into the business. If you make a recommendation for a vacancy, you will be eligible for a £1,500 bonus.
Private Medical Insurance
After successful completion of your probation period, PEI offer Private Medical Insurance via BUPA as a free benefit to you, but it is taxable.
4.5% matched pension contribution
After three consecutive years in the pension scheme with PEI, employees will have the opportunity to have any increased pension contributions (above 4.5%), matched by the business up to 5%.
Cycle to work scheme
After successful completion of your probation period, PEI will work with you to ensure that the loan of a bicycle can be treated as a tax-free benefit, enabling you to cycle to and from work (we also have great shower facilities on site, as well as plenty of bike racks to safely store your bike!) Season ticket / Travel loan After successful completion of your probation period, PEI offers an interest free travel loan, available for all permanent employees, for rail or tube annual tickets, for the purpose of you travelling to and from work.
PEI-HP
Show Less
Report"
"Lorien
4.4",Junior Data Analyst,"London, England",-1,"£40,000 /yr (est.)",201 to 500 Employees,1977,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.3,3.9,4.4,4.5,4.3,"Junior Data Analyst- Permanent
Salary: £35,000-£45,000
Location: Central London
Are you a passionate Data enthusiast looking for the next significant step in your career? Do you have experience working with Python?
The client
Working on important and impactful public policy challenges, such as improving girls' access to education to transforming citizen experience of public services.
Your responsibilities
Able to coordinate and manage multiple projects in a team environment
Checking of supplied data for sense, consistency and accuracy.
Understanding, articulating, managing and responding to customer's detailed technical issues in a timely manner
Ability to complete detailed work accurately
Your experience
Ideally an interest to work in research/public policy
Experience in data administration, data analysis, data warehousing and data cleaning
Experience using Python, SPSS and Excel
Competent in Windows based setting, proficient in keyboarding, internet, and automated systems usage
An understanding of relational, object and dimensional databases
Ability to build relationships with clients with strong interpersonal and communication skills
What's next?
If you believe you have the desired skills and experience, please follow the link to apply and attach a copy of your latest CV. If successful, a Consultant will be in touch to discuss in more detail.
IND_PC1
Carbon60, Lorien & SRG - The Impellam Group STEM Portfolio are acting as an Employment Business in relation to this vacancy.
Show Less
Report"
"OneSavings Bank
3.6",Senior Model Execution and Reporting Analyst,"London, England",-1,"£40,334 /yr (est.)",201 to 500 Employees,-1,Company - Public,Banking & Lending,Finance,$100 to $500 million (USD),3.6,3.8,3.5,3.1,3.4,"In this role, you will have the opportunity to support the Impairment and Capital team to undertake all its deliverables. The Senior Analyst will in particular be involved in running regular processes related to behavioural scoring, impairment (IFRS9) and capital (IRB) across OneSavings Bank PLC.
Further growth prospects are expected across the full customer lifecycle as IRB is embedded across all departments, and with the bank currently implementing IRB it is an exciting time to join as you'll be part of the journey.
Our philosophy:
Before you read on, we'd like you to know that we're committed to diversity and hope that our employee base reflects the diverse nature of our society. To understand more, please follow: https://www.osb.co.uk/careers/overview/
What you will be doing:
Be responsible for the IFRS9 impairment process (including the provision of regular commentary and ad-hoc analysis)
Ensure an accurate IRB RWA calculation process is carried out (including the provision of regular commentary and ad-hoc analysis)
Maintain the macro-economic scenarios which support the IFRS9 impairment framework
Control execution across both the impairment and capital processes
Carry out ad-hoc analysis as required to identify trends, issues and developments in impairment and capital processes and use findings to continually develop and enhance them
In return for your commitment:
Please use this link to see the fantastic benefits available at OSB:
https://www.osb.co.uk/careers/benefits
Could you be the one?
We are looking for talented individuals who have the experience and knowledge set out below:
Significant experience undertaking a risk related role within a retail consumer finance environment (in particular mortgage assets)
Demonstrable experience of modelling/advanced analysis using Microsoft Excel
Experience undertaking advanced SAS/SQL programming
Experience of WPS would be an advantage
Advanced knowledge of using SQL or SAS for modelling, reporting and data manipulation
Knowledge of risk management would be an advantage
Knowledge of impairment (IFRS9) and capital (IRB) would be an advantage
Intermediate understanding of probability and statistical techniques would be helpful
We also believe that your career and how you progress is as unique as your individual personality. We continually support our people so they can become the best version of themselves.
What to do next
If this sounds like you, please apply now!
If shortlisted from your initial application we operate a personalised recruitment process.
Interviews are a two way street, we aim for them to be relevant and conversational to get the best out of you!
OSB Group are dedicated to diversity in the workplace and committed to treating all our employees and job applicants equally. We embrace equal opportunities and are opposed to discrimination on any grounds.
As part of our public commitment to the Women in Finance Charter, we have introduced our own initiatives to attract, develop and advance senior women in our sector.
We don't stop there though, we have broadened our approach to encourage diversity and inclusion at all levels and in all roles. Our leadership and Executive Committee are right behind us, to the extent that our Diversity Champions sit at Board level and on a monthly basis receive updates on our progress.
All applicants must have rights to work in the UK and be willing to undertake the relevant pre-employment screening checks should your application be successful.
#LI-HYBRID
INDHP
Show Less
Report"
"Royal Mail Group
3.3",Data Analyst,"London, England",-1,-1,10000+ Employees,-1,Government,National Services & Agencies,Government & Public Administration,$10+ billion (USD),2.6,3.2,2.7,2.3,3.3,"Job reference number 292386
£30,000 - £35,000 per annum (subject to experience), 6% bonus potential and pension scheme
22.5 days annual leave plus bank holidays
Full time, 37.5 hours per week
Permanent
Remote Working

With over 2,600 sites, Royal Mail Group (RMG) has one of the largest corporate real estate and property portfolios in Europe. With a such large estate, the waste generated is immense; from food waste, recycling material to fleet and hazardous waste, we need to control and reduce our waste and data is one of the key factors to achieving this.

Royal Mail Property & Facilities Management (PFSL) have a vacancy for a Data Analyst who will support the Waste Contract Manager in providing robust, accurate and timely reports relating to waste.

The role
As a key member of the Facilities Management (FM) within FM Operations, you’ll provide a comprehensive data analysis and reporting service to the Environmental Team in relation to Royal Mail waste output. The majority of the data is via 3rd Party contracts which needs to be reported centrally to meet regulatory and environmental commitments.

In this key role, you’ll be accountable for the collation, compilation, dissemination and reporting of data with an intention that when better understood and managed, the waste volumes can be reduced or moved up the waste hierarchy with a preference for increased re-use or recycling.

You’ll work with several providers to ensure regular accurate reporting and identify areas of opportunity to reduce costs, increase recycling income or reduce overall volumes. Providers include a range of services that generate waste from their operations on RMG premises including waste disposal companies, grounds maintenance, drainage maintenance, confidential waste contractors and catering providers.

Other accountabilities include:

Accountable for the quality and integrity of waste management data by weight, cost, and waste stream type submitted to PFSL and the rest of Royal Mail Group.
Become the subject matter expert on waste data and support RMG in meeting its stated targets for waste reduction.
Build relationships with similar role holders in 3rd party providers to improve the flow of information and develop more useful and usable data.
Carry out site visits and audits to ascertain the effectiveness of PFS Ltd third-party supply chain services and the data they produce with input from operational colleagues and RM customers.
Be flexible in your approach and able to adapt, manage and where necessary drive supplier activity and reporting changes.

Location
Remote working with ad hoc travel to UK sites as and when required.

About you
You need to demonstrate the following skills and experience on your CV:


A Numerate Degree or Relevant Numerate Technical qualifications at or above NVQ level .
Extensive Excel experience at an advanced level for the analysis of data and production of reports.
Demonstrable experience of detailed data handling in a corporate environment.
Experience in using analytical software to mine data and produce reports.
Comprehensive analytical skills, with the ability to review and analyse performance data. budget information etc to identify and implement improvements.
Strong presentation skills and communication, with the ability to effectively create and deliver effective written reports and verbal presentations.
Desirable Sector Specific knowledge for waste and recycling management.
Proven track record of working at pace and the ability to meet targets and deadlines.
Skills in working with 3rd parties to obtain, interrogate and query the supply of data.

Closing Date: Monday 30th January. Please note, this advert may close early if the appropriate number of applications has been reached.
Interview Dates: We plan to hold the first stage interviews on the 10th/13th February

About Us
Royal Mail Property & Facilities Solutions is responsible for upgrading and safely maintaining one of the largest corporate real estates and property portfolios in Europe, with over 2,600 sites.

We pride ourselves in working to the highest standards of both technical assurance and customer service. It’s our job to support Royal Mail in being the best delivery company in the UK and that it is fit for delivering to 29 million addresses nationwide, six days a week.

Through our core delivery pillars of Real Estate & Value Generation, Property Programmes & Projects, and Workplace Services, Royal Mail Property & Facilities Solutions plays a key role in keeping the mail moving.

Royal Mail Property & Facilities Solutions employs 3000 employees and is owned by Royal Mail Group Ltd.

.
#RMG #LI-POST
Show Less
Report"
"NTT Data UK
3.9",BI & Data Analytics - Multiple levels,"London, England",-1,"£45,000 /yr (est.)",1001 to 5000 Employees,1967,Company - Public,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.9,3.7,4.0,3.6,3.9,"You'll be joining the 6th largest IT Service Provider, present in more than 50 countries. From our roots in Japan, NTT DATA's mission is to facilitate business change and technology transformation across many industries for a better future for our business, people and community.

Everything we do is underpinned by our core values of 'Clients First', 'Teamwork' and 'Foresight' and we achieve these by putting people first.

We support and celebrate our differences and preferences, these are what makes us unique. Some of our initiatives, collectively known as “DO Diversity”, aim to create a space for us to learn and get involved in building a truly diverse environment.
Show Less
Report"
