Company,Job title,Location,Salary,Salary estimate,Employees,Founded,Company type,Company industry,Company sector,Company revenue,Career opportunities,Comp & Benefits,Culture & Values,Senior Management,Work/Life Balance,Description
"Optum
3.7",Principal Data Scientist Open Interviews,United Kingdom,-1,-1,501 to 1000 Employees,-1,Company - Public,Healthcare Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.6,3.4,3.6,3.2,3.7,"Optum, the fast-growing part of UnitedHealth Group, is a leading information and technology-enabled health services business. Our teams are dedicated to modernizing the health care system and improving the lives of people and communities.
Serving virtually every dimension of the health system, we work with a diverse set of clients across 150 countries – from those who diagnose and treat patients to those who pay for care, deliver health services, and those who supply the cures. Optum maintains operations across North America, South America, Europe, Asia Pacific and the Middle East. Our innovative partnerships provide technology and tools that enable unprecedented collaboration and efficiency. As a result, we can tap into valuable health care data to uncover insights and develop strategies for better care at lower costs.
Here at Optum, part of United Health Group we'll put you in the driver's seat on vital projects that have strategic importance to our mission of helping people lead healthier lives. Yes, we share a mission that inspires. We need your organizational talents and business discipline to help fuel ours. It's the opportunity to do your life's best work.(sm)
About the Role:
At UnitedHealth Group and Optum, we want to make healthcare work better for everyone. This depends on hiring the best and brightest. With a thriving ecosystem of investment and innovation, our business in Ireland is constantly growing to support the healthcare needs of the future.
Our teams are at the forefront of building and adapting the latest technologies to propel healthcare forward in a way that better serves everyone. With our hands at work across all aspects of health, we use the most advanced development tools, AI, data science and innovative approaches to make the healthcare system work better for everyone. Join us and do your life's best work
As a Principal Data Scientist within our Advanced Analytics team, you will join a multi-disciplinary team focused on improving Network Affordability, with a drive towards unprecedented growth and medical cost reduction. Major projects will include building out a contract performance & medical cost suite of analytics and improving our competitive analysis capabilities throughout negotiation processes, allowing the acceleration and expansion of insight generation and decision-making capabilities and our speed-to-market. Your work will have a significant impact on the healthcare delivery for millions of people.
Careers with Optum offer flexible work arrangements and individuals who live and work in the Republic of Ireland will have the opportunity to split their monthly work hours between our Dublin office and telecommuting from a home-based office in a hybrid work model.
Primary Responsibilities of the Principal Data Scientist:
Be a functional SME for Data Science within the Advanced Analytics team and wider business
Work alongside other data scientists and analysts to design and implement models and experiments from end to end, including data ingestion and preparation, feature engineering, analysis and modeling, model deployment, performance tracking and documentation
Visualize referral pattern changes and network exposures as provider market share and patient dynamics shift; create predictive models that advance network interaction forecasting
Analyze, review and interpret complex data through the development of case-studies, enabling the data to tell a story
Understand and identify drivers of patterns/behaviors uncovered in data
Contribute to the design and realization of analytical based tools/assets to identify and monitor non-standard patterns
Collaborate with Clinical subject-matter experts to explore business problems and design solutions
Share analysis and interpretation for operational and business review and planning
Support short and long term operational/strategic business activities through analysis
Ideate and develop strategic solutions with business partners to mitigate rising trends in medical costs
Develop recommended business solutions through research and analysis of data and business process and implement when appropriate
You will be rewarded and recognized for your performance in an environment that will challenge you and give you clear direction on what it takes to succeed in your role, as well as providing development for other roles you may be interested in.
Required Qualifications of the Principal Data Scientist:
Bachelor’s Degree in a relevant discipline (i.e. applied mathematics, physics, computer science) or relevant work experience
Demonstrable success within a Data Science environment focused on agile thinking and innovative solutions, delivering complex and challenging projects
Experience applying computational algorithms, statistical and programming methods using (R and Python) to structured and unstructured data
Proven experience in understanding complex problems and datasets and driving data testing and strategic testing of ideas to come up with first-class solutions
Demonstrated ability to own and lead projects that deliver real business value
Preferred Qualifications of the Principal Data Scientist:
MS/PhD in applied mathematics, physics, computer science, engineering, statistics, bioinformatics, actuarial science or similar numerical degree
Experience and understanding of US healthcare system, billing of medical claims and associated data environments
Experience creating Machine learning solutions to solve complex issues
Technology Careers with Optum. Information and technology have amazing power to transform the health care industry and improve people's lives. This is where it's happening. This is where you'll help solve the problems that have never been solved. We're freeing information so it can be used safely and securely wherever it's needed. We're creating the very best ideas that can most easily be put into action to help our clients improve the quality of care and lower costs for millions. This is where the best and the brightest work together to make positive change a reality. This is the place to do your life's best work.(sm)
All telecommuters will be required to adhere to the UnitedHealth Group’s Telecommuter Policy.
At UnitedHealth Group, our mission is to help people live healthier lives and make the health system work better for everyone. We believe everyone–of every race, gender, sexuality, age, location and income–deserves the opportunity to live their healthiest life. Today, however, there are still far too many barriers to good health which are disproportionately experienced by people of color, historically marginalized groups and those with lower incomes. We are committed to mitigating our impact on the environment and enabling and delivering equitable care that addresses health disparities and improves health outcomes — an enterprise priority reflected in our mission.
Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.
regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.
How to attend
Upon arrival at the venue, please follow signage to the event registration desk.

What to prepare
N/A
Preferred dress code
Business casual (trousers/skirt, button down shirt/blouse, optional tie)
About Optum
At Optum, we leverage leading edge technology and innovation to create a healthcare system that serves everyone more fairly, efficiently and consistently. We work to build a healthier world, one idea at a time.
As a Fortune 5 business, we’re one of the world’s leading healthcare companies. There are no limits here on the resources you’ll have or the challenges you’ll encounter. With our hands at work across all aspects of health, we use the most advanced development tools, AI, data science and innovative approaches to make the healthcare system work better for everyone.

We are proud to be a long-standing contributor to the Irish economy and community. We have been supporting global healthcare systems from Ireland for more than 20 years, building a dynamic and diverse team of over 1,700 talented individuals. From our offices in Dublin and Letterkenny, we discover new ways to make a difference in people’s health around the world.

If you're looking for a career where you can make a positive impact every day, this is truly the opportunity to do your life's best work.℠

Come to our Open Evening on January 25th to learn more about opportunities in Dublin across our Technology, Analytics and Optum Rx (Pharmacy Services, Contracting, Network Pricing, Industry Relations) teams.
Please register for the event at: https://optumin.co/signup
Perks and benefits
Snacks and refreshments
What is a hiring event?
Think of it like a job fair, but for one company and more personal. Hiring events are a great way for employers to fill multiple roles quickly. Hiring is a human process, and they would like to meet you to see if you’re a fit!
Show Less
Report"
"Pythia Sports
3.0",Data Scientist - Cricket,"London, England",-1,"£57,021 /yr (est.)",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,3.0,3.0,5.0,4.0,5.0,"Pythia Sports are looking for a creative thinking and experienced person to join their established in-house modelling team as a Data Scientist in cricket modelling and simulation. The purpose of the role is to develop, and conduct statistical analysis of, human-interpretable predictive models for a cricket prediction pipeline.
As a Data Scientist you will:
Have a deep understanding of the data, its limitations and meaning, including the investigation of data validity
Uncover trends in multiple sports datasets
Build and maintain data-driven predictive models
Research and apply novel modelling techniques
Build and maintain model validation metrics to regularly track performance
Have awareness of the limitations of any model output
Have an understanding of statistical robustness and validity.
Key Skills / Qualifications
Experience applying advanced statistics and modelling techniques to cricket data is essential
PhD or equivalent industry experience in a quantitative field
Strong programming skills, with a preference for (but not limited to) Matlab, Python and R
A track record of using data to solve complex problems
Experience working with cloud computing (desirable).
Right to work in the UK
Candidate Overview
The successful Data Scientist will be an innovative, self-driven person with high levels of integrity. They will be working closely with local and remote teams and therefore need to be highly communicative, but also work well independently. They must be well organised and have the ability to handle multiple projects simultaneously.
Company Overview
Pythia Sports was established in 2014 with the goal to provide the most accurate sports probabilities to some of the largest wagering groups worldwide. We provide sophisticated modelling services and wagering execution software to a small number of private clients. We focus on being the best at what we do and recognise that our success comes from having the best employees and keeping them happy. We pride ourselves on hiring talented, creative and free thinkers.
Here you will find a relaxed atmosphere, monthly social events and amazing people! If working from the office, there are also free healthy snacks, fruits, coffee, tea and beer. That's of course once things get back to ""normal"" and we are back to the office a few days a week, as most of us are currently working fully from home - future home working can be considered as well.
We also offer private health and dental insurance, cycle to work scheme, enhanced paternity and maternity leave, enhanced sick pay, increased holiday allowance, discretionary annual bonus and exciting development opportunities.
Pythia Sports employees are expected to embrace the company philosophy of integrity combined with innovation and cutting edge technology
Job Types: Full-time, Permanent
Benefits:
Additional leave
Casual dress
Company events
Company pension
Cycle to work scheme
Private dental insurance
Private medical insurance
Referral programme
Sick pay
Wellness programmes
Schedule:
Monday to Friday
Supplemental pay types:
Bonus scheme
COVID-19 considerations:
Currently working from home.
Application question(s):
Please briefly describe your experience working with Cricket data.
Education:
Master's (preferred)
Work authorisation:
United Kingdom (preferred)
Application deadline: 02/02/2022
Reference ID: Cricket
Show Less
Report"
"Burberry
3.5",Data Scientist,"London, England",-1,"£55,336 /yr (est.)",5001 to 10000 Employees,1856,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD),3.1,3.7,3.6,3.1,3.3,"At Burberry, we believe creativity opens spaces. Our purpose is to unlock the power of imagination to push boundaries and open new possibilities for our people, our customers and our communities. This is the core belief that has guided Burberry since it was founded in 1856 and is central to how we operate as a company today.
We aim to provide an environment for creative minds from different backgrounds to thrive, bringing a wide range of skills and experiences to everything we do. As a purposeful, values-driven brand, we are committed to being a force for good in the world as well, creating the next generation of sustainable luxury for customers, driving industry change and championing our communities.
JOB PURPOSE
Burberry is making a major investment in expanding our data and analytics capability. Over the last few years, we have created a global omni-channel single customer view, built an outstanding and modern analytics platform, and developed a highly effective analytics and data science team. We’re now building on these foundations to drive and embed data-inspired decision making across Burberry.

We are recruiting Data Scientists to join our fast-expanding data science team and contribute to our core strategic focus areas across:
Personalisation, Precision Marketing and Customer Journeys: Utilising state-of-the art modelling techniques and advanced analytics to uncover our customer behaviours, preferences and intents and deliver targeted and personalised experiences across all customer touchpoints.
Forecasting & Operational Research: Using sophisticated techniques and developing innovative data products to embed data-driven decision making across our supply chain, merchandising, finance, and planning processes.

As a Data Scientist, you will be accountable for researching, building, and deploying robust statistical and machine learning models, exploring a wide range of new data sources, and generating reliable and actionable insights and recommendations.

Are you a data scientist, or a recent graduate with an advanced degree in a quantitative field, and with a proven record of using data, statistical modelling, machine learning or deep learning techniques to solve business problems and drive business value? If so, we’d love to hear from you.
RESPONSIBILITIES
Generating robust advanced analytics and developing new cutting-edge machine learning models and data-driven tools to support our ongoing data strategy and drive future business performance
Optimising and evolving the current models and analytics solutions that are in production, taking a test and learn approach and ensuring improvements are impactful and aligned to business objectives and strategy
Presenting the analytics solutions, models and insights to a range of business stakeholders and contributing to strategic decisions
Contributing new ideas towards improving our current solutions, processes and unsolved business problems, having the opportunity to directly feed into our data strategy agenda and roadmap
Working within cross-functional teams and delivering under an agile project-based framework
Working with the latest big data technologies and continuously learning and adapting in this fast-evolving space
Being pro-active and staying up to date with latest trends in analytics and technology
PERSONAL PROFILE
Advanced degree, MSc or PhD in a quantitative field (e.g., Data Science, Mathematics, Statistics, Econometrics, Computer Science, Physics, Engineering etc)
Some experience as a Data Scientist in a commercial environment and customer focused business is an advantage
Interest and hands-on experience with time series, deep learning, recommendation systems, classification, clustering and regression techniques, is preferred
Proven personal portfolio of projects where analytics and data science were used to drive business value and decisions
Strong in problem-solving, combining both a logical and innovative approach
Good, in-depth, understanding and extensive practical use of mathematical, statistical, machine learning and deep learning techniques
Solid foundation in programming and proficient in Python. Additional experience with deep learning frameworks, such as PyTorch or Tensorflow would be beneficial
Understanding and interest in big data technologies (Spark, Hadoop, etc)
Strong desire and proven ability to continuously learn new software, technologies and methodologies and keep up with the fast-evolving field of big data
Collaborative approach to work, working in teams towards delivering a business objective
Strong time management skills and ability to plan and prioritise over multiple requests
Self-starter, proactively identifying opportunities where analytics can add value and translating business requirements in analytical framework
Excellent communication skills with the ability to explain complex analytics to stakeholders
Show Less
Report"
"Barclays
4.0",Senior Data Scientist,"London, England",-1,"£44,888 /yr (est.)",1001 to 5000 Employees,1996,Company - Private,HR Consulting,Human Resources & Staffing,$500 million to $1 billion (USD),3.8,3.6,4.2,3.9,4.1,"Senior Data Scientist
Flexible UK Location
This is an exciting opportunity to work as a Senior Data Scientist at the intersection of machine learning and financial services in the Data Science and Advanced Analytics team. We have a track record of breaking new analytical ground in Barclays using newer data sources, advanced techniques, and cutting-edge technologies. We’re now hiring for our next innovative leader to push the bank’s analytical boundaries to better serve our customers. The constantly evolving nature of our projects and partners means you will analyse a variety of data, particularly those that are unstructured, large and granular.
Barclays is one of the world's largest and most respected financial institutions, with 329 years of success, quality and innovation behind us. We offer careers that provide endless opportunity – helping millions of individuals and businesses thrive, and creating financial and digital solutions that the world now takes for granted.
You can apply from anywhere in the UK for this role. We will confirm your place of work at the point of offer, ensuring that this is considered in line with our future ways of working and overall location strategy. The hiring manager for the role will discuss the appropriate defined time in office for the role with you as part of the application process
Working Flexibly
We’re committed to providing a supportive and inclusive culture and environment for you to work in. This environment recognises and supports ways to balance your personal needs, alongside the professional needs of our business. Providing the opportunity for all our employees, globally to work flexibly empowers each of us to work in a way that suits our lives as well as enabling us to better service our customers’ and clients’ needs. Whether you have family commitments or you’re a carer, or whether you need study time or wish to pursue personal interests, our approach to working flexibly is designed to help you balance your life. If you would like some flexibility, then please discuss this with the hiring manager, and your request will be reviewed subject to business needs.
Hybrid Working
We are currently in the early stages of implementing a hybrid working environment, which means that many colleagues spend part of their working hours at home and part in the office, depending on the nature of the role they are in. We’re flexible on how this works and it may continue to change and evolve. Depending on your team, typically this means that colleagues spend a minimum of between 20% to 60% of their time in the office, which could be over a week, a month or a quarter. However, some colleagues may choose to spend more time in the office over a typical period than their role type requires. We also have a flexible working process where, subject to business needs, all colleagues globally are able to request work patterns to reflect their personal circumstances
Please discuss the detail of the working pattern options for the role with the hiring manager.
What will you be doing?
Designing and developing modelling approaches appropriate to data sources, technology stacks, and end-users’ needs
Spurring engagement with business areas, coordinating multifunctional project teams to deliver data science solutions that create transformative commercial value at pace and in control
Ensuring project teams you lead deliver machine learning models into production, working collaboratively with colleagues across the organisation to remove impediments to progress
Adhering to professional software development standards to ensure robust, repeatable analytical applications in line with legal requirements, internal policies, and risk management frameworks
Reviewing the code of colleagues to ensure it is efficiently written and appropriately documented
Promoting and presenting your work to senior stakeholders across Barclays UK
Keeping tabs on the latest developments in data science, devising ways to foster these within the bank
What we’re looking for:
Proficiency in Python developing statistical and machine learning models
Experience delivering complex data science projects in a business context
Energy and enthusiasm to inspire followership and to work effectively in a low ego environment
Clear passion for making financial services more customer-centric by using data science ethically
Skills that will help you in the role:
Prior people management experience, with tried and true approaches for mentoring junior staff
Understanding of the financial sector, to recognise and drive forward opportunities where data science can transform the bank
Skilled at influencing and communicating to various stakeholders up to executive level
Specialism in one or more of the following: reinforcement learning, deep learning, natural language processing, agent-based modelling, image recognition
Where will you be working?
We will confirm your place of work at the point of offer, ensuring that this is considered in line with our future ways of working and overall location strategy.
Job Types: Full-time, Permanent
Benefits:
Company pension
Sick pay
Work from home
Schedule:
8 hour shift
No weekends
Reference ID: 00277103
Show Less
Report"
Metrica Recruitment,Data Scientist,"London, England",-1,"£75,000 /yr (est.)",1 to 50 Employees,2014,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1,-1,-1,-1,-1,"The Company
This exciting technology start-up brings AI to the metals & mining industry, having their own software platform which helps clients optimise yield and production efficiency. Their product is based on machine learning technologies for time series analysis.
This is a high-calibre, multinational data science team where there is the unique opportunity to address challenges in the industrial sector. Currently in a sustained period of growth, they are looking to hire multiple data scientists at varying levels of seniority.
The Role
Your core focus will be to build machine learning algorithms for optimization, anomaly detection and regression, which will be pivotal in ensuring factories scale-up globally, in real-time.
Responsibilities include, but are not limited to:
Developing innovative machine learning algorithms for time series analysis
Analysing algorithm performance bottlenecks and proposing solutions for improvements and optimization
Preparing new algorithms for deployment and supporting deployment to production
The Individual
BSc, MSc, or PhD degree in computer science, physics, maths or similar
Strong mathematical background in machine learning and deep learning
Professional work experience in machine learning
Understand the principles of computer science algorithms and data structures
Solid understanding of anomaly detection and signal processing
Excellent coding skills in Python
Practical knowledge of ML and DL frameworks
PLEASE NOTE: Regrettably, this client is unfortunately unable to offer Visa sponsorship
Job Owner: d.prosser
Show Less
Report"
"Cortex IT Recruitment
3.5",Python Engineer - Big Data,"London, England",-1,"£75,000 /yr (est.)",1 to 50 Employees,2010,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.6,2.7,3.3,3.2,2.5,"Exciting new start-up that works with financial institutions and government organisations to detect and prevent fraud, financial crime and non-compliance utilising bleeding edge innovations within big data and machine learning surrounded by passionate technologists.
This role will see you join the RandD team, where you will work closely with other key areas of the business. As the demand from clients grow they are looking to further build the Python Development team.
You will work on leading technologies across the Python stack including:
Python
PySpark
Scala - which you will have the option to learn if you haven't used already
Libraries and frameworks include:
PySpark, pandas, Scipy, MLFlow, NetworkX
Apache Spark, Hadoop, Pandas, Kubernetes, Docker, Jupyter
Essential skills include:
Proven track record of Python based big data technology
Exposure to libraries such as Apache Spark
Willingness to learn new technologies
Proven problem solver
Ability to work with other business areas such as the data science or pre-sales
Benefits:
Competitive salary
Company bonus
Private healthcare
Life insurance
Income protection
Cycle scheme
Tech scheme
Pension (company 6%, personal 3%)
25 days leave
Birthday off
Excellent social events (when safe to do so again!)
Job Owner: c.rogers (29047)
Show Less
Report"
"Cord
3.8",Data Science Product Owner,"London, England",-1,"£57,500 /yr (est.)",1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,4.2,3.9,3.8,3.5,"Insurwave is a London-based, client centric, tech focused, disruptive company that connects the specialty insurance market. We are passionate about our people and our values of trust, curiosity and quality are embedded in everything we do.

At Insurwave, we embrace the opportunity to create outside-the-box solutions. We are driven by the desire to help create something that has never existed: a fully automated and connected specialty insurance industry.
We have developed a platform that uses leading cloud technologies to reduce the distance between corporate risk and insurance capital. One of the major benefits it offers is enabling insurers and brokers to innovate, bring new products and services to market fast, and develop a competitive edge.
About the role:
As a Data and AI Product Owner, reporting to the Head of Data and AI you will be responsible for helping shape the future direction of our company, using your skills to help identify and deliver solutions which utilise our data to solve the problems of our commercial insurance clients.
We are looking for someone with experience working with products involving analytics or AI, ideally within insurance, to own end-to-end delivery of Data/AI product features. You will work closely with your Engineering Lead and Functional Product Owner counterparts to shape and lead the delivery in cross-functional teams. You will work closely with a team of data scientists, data engineers, data analyst, business analysts and software engineers but also work alongside stakeholders from across the business and external organisations.
This is an ideal role for an experience data professional who wants to move away from implementation.
Responsibilities:
Responsible for innovation and end-to-end product design and delivery in a fast-paced environment
Work with cross-functional teams and various stakeholders, including data scientists, data engineers, data analysts, business analysts, UX/UI, software engineers, product owners and Client Success
Work in an Agile environment and continuously review business needs, refine priorities, define milestones and deliverables, and call out opportunities and risks
Partner with stakeholders and customers across the business to inform the product vision, strategy, features, and prioritisation
Work with corporate clients, spend time understanding their needs and gathering feedback
Translate requests and product roadmap features into well-defined product requirements including features, user stories, and acceptance test criteria
Prioritise and maintain a sprint backlog for assigned products, balancing the requirements of stakeholders
Lead product functional/technical design process based on an intimate knowledge of the users, data, and technology
Contribute to Data Architecture and Management processes
Act as a focal point and manage the relationship with delivery teams across Insurwave to understand availability of data when creating new solutions
Drive targeted data collections/labelling campaigns (internal or 3rdparty data sources)
Establish frameworks for systematic QA and monitoring data, analytics, and machine learning products.
Constantly curate and build datasets for benchmarking and regression testing
Guide team in designing experiments and interpret results to inform next actions
Analyse failure cases of models/analytics products
Deep dive hands-on exploratory data discovery and exploration

Yours Skills & Experience:
Experience in a product management role requiring setting priorities and defining new products
Experience in leading delivery teams and ownership of end-to-end delivery of releases.
Proven track record of delivering solutions across machine learning, data and analytics strategy and products including cloud based data infrastructure, PowerBI, Tableau, SQL, APIs, and front-end technologies.
Strong understanding of data engineering principles, analytics, and machine learning algorithms
Strong technical experience in exploratory data discovery and exploration
Ability to work with teams in a constructive, collaborative manner
A quick-learner with the ability to quickly develop insight into the client and subject matter.
A curious and analytical mindset, with strong problem solving skills.
Great attention to detail whilst still able to keep the bigger picture in focus.
Ability to process a vast amount of information with a methodical approach.
Experience governing AI/Analytics projects and passionate about quality
Experience working in an agile environment
Experience with Agile Project delivery methods, and associated software tools including Confluence and Jira
Strong knowledge of AI/Data software development practices – the lifecycle and methodologies.
Excellent written and verbal communication and stakeholder management skills
Willingness to work with diverse stakeholder groups, external third-party suppliers and customers
Willing to learn new technologies

Desirable

Familiarity with Commercial insurance sector
Technical experience in data analysis/data science
Literacy in SQL queries, coding (Python)
Familiarity with document digitalisation and extraction tools
Knowledge of Azure ecosystem

Bonus Scheme
Private Pension
Private Health Care
Critical Life Cover
Life Insurance
Income Protection
Bike Scheme
Video Culture Call
Virtual interview with Head of Data and AI and Product Team member
Offer
Data Analysis, Product Design, Product Roadmap, Data Driven, Machine LearningJira, Confluence, Agile, Python, SQL, Azure
Show Less
Report"
Metrica Recruitment,Data Scientist - R& Python,"London, England",-1,"£37,500 /yr (est.)",1 to 50 Employees,2014,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1,-1,-1,-1,-1,"The Company
A well-established location strategy and analytics consultancy, delivering geographically focused analysis and insights to clients across the UK and further afield. This organisation collaborates with leading companies across a number of different industries; including but not limited to, retail, leisure, central government & automotive.
The Role
As a data scientist, you will be responsible for utilising the most cutting edge data techniques to deliver bespoke solutions to both internal stakeholders and clients alike. You should expect to be exploring the newest methodologies within the machine learning and natural language processing space. With complete autonomy to generate the best results, this is undoubtedly a fantastic opportunity for an ambitious individual looking to accelerate their learning.
Personal development is very much on this organisation's agenda, with a combination of structured internal training programmes and the prospect of gaining external qualifications, you will have a real platform to build a successful career over the next few years.
The successful candidate is likely to have:
A stellar academic background, preferably from a numerate discipline
Technical knowledge of a programming language, either R or Python
Demonstrable machine learning or statistical modelling experience
Strong logical reasoning and problem-solving skills
Job Owner: t.stillwell
Show Less
Report"
"Science Museum Group
3.7",Machine Learning and Digital Specialist (Congruence Engine),"London, England",-1,"£34,643 /yr (est.)",1001 to 5000 Employees,1909,Non-profit Organisation,Culture & Entertainment,"Arts, Entertainment & Recreation",$25 to $50 million (USD),3.0,3.3,3.7,3.1,3.9,"Machine Learning and Digital Specialist (Congruence Engine)
Are you able to work collaboratively and independently to initiate and complete specific projects within set deadlines? Do you want to bring your advanced digital skills to work at the heart of the Congruence Engine project?
About us
The Science Museum Group is a year into its major research project, ""The Congruence Engine: Digital Tools for New Collections-Based Industrial Histories"". Its aim is to show how digital humanities, machine learning and other computational tools can be used to link collections for the purpose of doing new historical work and to enhance access to collections. You can find out more here and here.
We are looking Machine Learning and Digital Specialists to join the project team. The opportunities are based at the Science Museum in London but with hybrid working available too. We are also able to offer flexible employment and negotiable hours and contract length to suit your availability. This might start with part-time employment in the beginning and move towards fuller-time employment in the medium term of the project (which concludes in November 2024).
There are various opportunities to cover the following specialisms:
Database Design and Geospatial Analysis
Linked Open Data and Ontologies
Natural Language Processing for Data Preparation
NLP/Date Science for Linking Academic Publications to GLAM Records
About the role
As Machine Learning and Digital Specialists (Congruence Engine) you will bring advanced digital skills to work at the heart of the project, enabling, testing and critically reflecting upon the use of novel methods and techniques (including a range of machine learning technologies) and the design of related digital pipelines.
You will develop a range of archival, analogue and digital sources into machine readable data that may be linked for interoperability across datasets. These processes will include the creation of formalised data models and schema (aligned with recognised standards, where relevant) and the design and development of prototype tools for storing, managing and exploring the data, both in process and as output, for a range of users/audiences.
About you
Joining us you will have demonstrable skills in one or more areas of Machine Learning/Natural Language Processing, Linked Data/Ontology Design and Implementation, Database Development and Geospatial Analysis.
You will be able to work both collaboratively with academic and technical colleagues and independently to initiate and complete specific projects within set deadlines. You will have a willingness and ability to collaborate with others on research, in addition to the capacity to enthuse and motivate others in the project team.
Applying
View the Vacancy Information Pack listed under 'Attachments' on the vacancy listing on our website for more details about the role and the application process, or click 'Apply Online' to submit an application.
Don't feel you meet all of the criteria? At SMG, we are committed to building a workforce that is open for all, and welcome you to apply, even if your experience doesn't fit perfectly. With your transferable skills, you could be the right candidate for this, or other opportunities that we have.
What we offer
Joining us as an employee, you will have the opportunity to develop your career in a world-class museum group. We know work/life balance and wellbeing is crucial to our colleagues, so we currently offer up to 25 days annual leave in addition to bank holidays; BUPA medical and dental care; employee assistance programme; enhanced contributory pension; enhanced occupational sick, maternity, paternity and adoption leave and career breaks.
'Open for All' is one of the Science Museum Group's five core values and sets out our important aspiration to be a place for everyone. As a national museum group, we have an ability to reach a wide and diverse population of audiences, colleagues and partners through our geography and scale.
We are working hard to understand our organisation better and to foster a culture that recognises and values different backgrounds, mindsets, skills, experience, knowledge and expertise. By having greater diversity, we believe that we will be a stronger and better organisation and ultimately will be able to inspire more futures. We therefore welcome applications from those who bring difference.
Show Less
Report"
Cambrian Robotics Limited,AI/ML engineer,"London, England",-1,"£70,000 /yr (est.)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Cambrian is a London based company developing advanced AI vision for collaborative and industrial robots. We are looking for a passionate AI/ML engineer to join our growing team. https://www.caint.io/
Job description:
Research, design and deploy new machine learning models.
Plan and manage benchmarking tests for new machine learning models
Manage production level AI-model codebase for Cambrian Vision System
Communicate results of the research and tests to Cambrian team
Requirements:
Must have +1 year of professional ML experience from industry or PHd work.
Passion for AI / Robotics technology
Minimum Masters level University degree from Computer science / Data Science / Robotics / Machine learning / Applied Maths or similar discipline.
Knowledge of Python and Tensorflow or Pytorch
Deep knowledge of convolutional models and latest state of the art techniques.
Benefits:
Partially remote work
Competitive salary
Share incentive plan
If you find this interesting or have any questions - please send few sentences about yourself and a CV to us
Job Type: Permanent
Salary: £60,000.00-£80,000.00 per year
Benefits:
Profit sharing
Work from home
Schedule:
Monday to Friday
Education:
Master's (required)
Work Location: Hybrid remote in London EC1R 0NE
Expected start date: 01/03/2023
Show Less
Report"
