Company,Job title,Location,Salary,Salary estimate,Employees,Founded,Company type,Company industry,Company sector,Company revenue,Career opportunities,Comp & Benefits,Culture & Values,Senior Management,Work/Life Balance,Description
The Platinum Group,"Assistant Director, Macroeconomics","London, England",£156K - £161K (Employer Est.),"£158,500 /yr (est.)",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,"Assistant Director, Macroeconomics (**role is located in Bermuda**)
Our client is seeking the services of a skilled and capable individual to work as an Assistant Director, Macroeconomics, in their Financial Stability Department. Reporting to the Director, the Assistant Director will be responsible for undertaking and supervising macroeconomics projects contributing to the company’s macroprudential surveillance and financial stability objectives.
This is a key role and the post-holder will be responsible for:
Developing and interpreting macroeconomic models, forecasts and stress testing scenarios to assess macroeconomic risks and/or impact on the financial sector and the economy of Bermuda
Conducting quantitative analysis of geopolitical and macroeconomic trends relating to the general economy of Bermuda, as well as the global financial market
Evaluating economic policy decisions and conducting impact assessments of the Bermuda financial sector
Conducting macroeconomics research/analytic projects that arise from day-to-day activities on topical issues to disseminate and present to senior management
Providing senior-level subject matter expertise and advice as required
Steering an assigned team in addition to providing support for technical and administrative issues
Performing other related work and special projects as assigned by management in accordance with competencies normally associated with the post
Providing direction, leadership and supervision to the assigned team(s) and working groups, in addition to providing support on technical, managerial and administrative matters in achieving the department’s overall goals and objectives
Overseeing the performance of individual team members, providing direction, mentoring and feedback. Conducting formal performance appraisal discussions as prescribed by the performance management process
Identifying the training needs of the team and assisting in establishing programmes for employee development by way of formal training courses, individual development plans, one-on-one coaching, special projects or on-the-job exposure
Providing management leadership and supervision to assigned teams and individuals with respect to providing professional advice, encouragement and guidance in conducting their assignments and achieving both departmental objectives and personal goals
Identifying the training needs of employees and, in conjunction with L&D, establishing programs for their development by way of formal training courses, special projects or on-the-job exposure
This position requires a proven technical and business background. Therefore, the post-holder must have:
A Master’s level Degree or equivalent qualification in economics, macroeconomics, finance and/or related discipline from a recognised institution plus a relevant professional qualification, such as CFA. A Doctoral level Degree in a related discipline would be an asset
A minimum of ten (10) years’ relevant post-graduate experience, with at least five (5) at a senior level leading a team, in the financial services industry and/or working experience with a central bank, financial services regulator and/or research institution. Proven experience in macroeconomics analysis and or applied economic research, including experience in developing complex macroeconomic models, impact assessments and stress scenarios
Experience utilising quantitative (economic, econometric, statistical, coding) techniques
Proven experience in writing research papers and reports that incorporate a synthesis of research, critical thinking, source evaluation, sorganisation and writing that offers a unique perspective or a new contribution to the topic under discussion
A broad and detailed knowledge of international finance and/or international (re)insurers’ operations
Strong analytical skills and excellent interpersonal and communications skills (both written and oral)
A demonstrated ability to synthesise, summarise and communicate information from a variety of sources, along with the ability to manage projects to completion in a timely manner
An ability to lead and provide training to staff members
**This role is located in Bermuda and the successful candidate must be able to relcoate to Bermuda**
Only short listed candidates will be contacted, we thank all who invested the time to apply.
Job Types: Full-time, Permanent
Salary: £156,000.00-£161,000.00 per year
Schedule:
8 hour shift
Application question(s):
Do you have proven experience in macroeconomics analysis and or applied economic research, including experience in developing complex macroeconomic models, impact assessments and stress scenarios?
Education:
Master's (required)
Experience:
post graduated: 10 years (required)
senior level leading a team: 5 years (required)
Licence/Certification:
CFA (preferred)
Show Less
Report"
"FTI Consulting, Inc.
4.1",2023 Summer Internship | Economic & Financial Consulting,"London, England",£156K - £161K (Employer Est.),-1,5001 to 10000 Employees,1982,Company - Public,Business Consulting,Management & Consulting,$2 to $5 billion (USD),4.1,3.8,4.0,3.9,3.5,"What We Do
Our team of consultants come from a wide variety for academic backgrounds. At FTI they develop skills in economics and finance as well as drawing on their problem solving and analytical skills to answer a range of questions for high-profile clients.
We specialise in two main areas:
providing valuation advice about anything from large public companies to patents and trademarks. We do all types of work, but in particular we are the leading firm in advising on valuation issues before courts and tribunals all around the world; and
economic regulatory advice, where we apply economic theory and in-depth experience to offer advice to both regulators and regulated companies on a wide range of issues.

We have offices in cities across the world, with more than 250 staff worldwide. In London, our EFC practice has more than 150 people and each year we look to recruit at least 15 graduates from any degree background.

Examples of the questions our clients ask us
What impact did Uber have on the earnings of Black Cab drivers in London?
What is a fair way to distribute money to artists from steaming service royalties?
How much extra cost did the NHS incur because a generic drug was kept off the UK market by an invalid patent?
How much is the brand name of a premiership football club worth?
What is the value of an airport in South Africa?
Do US stock exchanges undervalue Chinese companies?
As part of the Foskett Panel, how much compensation should business owners receive after they were wrongly made to close by Lloyds Bank?
Does an econometric analysis of a European bank's share price indicate that it was affected by the release of inside information?
How large are the benefits of subsidising rural broadband networks in Europe?

What You Will Do
Our interns play a key role in our project teams by performing industry research and developing the knowledge and experience to perform detailed economic analysis and financial modelling to solve interesting questions. They benefit significantly from working closely with managers and other team members in small teams, as well as from direct exposure to some of the top experts in the industry.

After comprehensive training, some of your day-to-day tasks will include:
Preparing and reviewing financial models, using Excel and financial databases such as Bloomberg and CapitalIQ
Using statistical software packages to perform econometric analysis of industry and market data
Researching companies, markets or geographies to understand what industry features are relevant to the project
Reviewing the regulatory landscape and drawing parallels with our client's industry
Summarising your work in emails or memos, clearly presenting your results and drawing out the implications
Taking responsibility for the quality of the final product

What We Offer You
Applications for our 8-week Summer Internship will open in September. As an intern, you will have the opportunity to apply your intelligence and analytical skills to stimulating economic, financial and business issues across many different industries. Our interns will have the opportunity to experience a variety of different projects across a range of industries.

#LI-NS2Summer internship Requirements:
Candidates must be interested in an 8-week internship during the summer of 2023 at our London office. Applicants should be in their penultimate year of study
Numerate, logical and inquisitive team players from any degree subject
Ability to think independently and creatively
Candidates must be able to demonstrate their quantitative skills, whether academically or in other ways

Application requirements for this role

Candidates are advised that different roles at FTI Consulting have different application requirements. In order to be considered for this role, candidates must:
Upload their CV (cover letter and other documents are not required)
Answer the motivation question (provided when online tests are sent out) in less than 200 words

#LI-NS2
Show Less
Report"
"Burberry
3.5",Data Scientist,"London, England",£156K - £161K (Employer Est.),"£55,336 /yr (est.)",5001 to 10000 Employees,1856,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD),3.1,3.7,3.6,3.1,3.3,"At Burberry, we believe creativity opens spaces. Our purpose is to unlock the power of imagination to push boundaries and open new possibilities for our people, our customers and our communities. This is the core belief that has guided Burberry since it was founded in 1856 and is central to how we operate as a company today.
We aim to provide an environment for creative minds from different backgrounds to thrive, bringing a wide range of skills and experiences to everything we do. As a purposeful, values-driven brand, we are committed to being a force for good in the world as well, creating the next generation of sustainable luxury for customers, driving industry change and championing our communities.
JOB PURPOSE
Burberry is making a major investment in expanding our data and analytics capability. Over the last few years, we have created a global omni-channel single customer view, built an outstanding and modern analytics platform, and developed a highly effective analytics and data science team. We’re now building on these foundations to drive and embed data-inspired decision making across Burberry.

We are recruiting Data Scientists to join our fast-expanding data science team and contribute to our core strategic focus areas across:
Personalisation, Precision Marketing and Customer Journeys: Utilising state-of-the art modelling techniques and advanced analytics to uncover our customer behaviours, preferences and intents and deliver targeted and personalised experiences across all customer touchpoints.
Forecasting & Operational Research: Using sophisticated techniques and developing innovative data products to embed data-driven decision making across our supply chain, merchandising, finance, and planning processes.

As a Data Scientist, you will be accountable for researching, building, and deploying robust statistical and machine learning models, exploring a wide range of new data sources, and generating reliable and actionable insights and recommendations.

Are you a data scientist, or a recent graduate with an advanced degree in a quantitative field, and with a proven record of using data, statistical modelling, machine learning or deep learning techniques to solve business problems and drive business value? If so, we’d love to hear from you.
RESPONSIBILITIES
Generating robust advanced analytics and developing new cutting-edge machine learning models and data-driven tools to support our ongoing data strategy and drive future business performance
Optimising and evolving the current models and analytics solutions that are in production, taking a test and learn approach and ensuring improvements are impactful and aligned to business objectives and strategy
Presenting the analytics solutions, models and insights to a range of business stakeholders and contributing to strategic decisions
Contributing new ideas towards improving our current solutions, processes and unsolved business problems, having the opportunity to directly feed into our data strategy agenda and roadmap
Working within cross-functional teams and delivering under an agile project-based framework
Working with the latest big data technologies and continuously learning and adapting in this fast-evolving space
Being pro-active and staying up to date with latest trends in analytics and technology
PERSONAL PROFILE
Advanced degree, MSc or PhD in a quantitative field (e.g., Data Science, Mathematics, Statistics, Econometrics, Computer Science, Physics, Engineering etc)
Some experience as a Data Scientist in a commercial environment and customer focused business is an advantage
Interest and hands-on experience with time series, deep learning, recommendation systems, classification, clustering and regression techniques, is preferred
Proven personal portfolio of projects where analytics and data science were used to drive business value and decisions
Strong in problem-solving, combining both a logical and innovative approach
Good, in-depth, understanding and extensive practical use of mathematical, statistical, machine learning and deep learning techniques
Solid foundation in programming and proficient in Python. Additional experience with deep learning frameworks, such as PyTorch or Tensorflow would be beneficial
Understanding and interest in big data technologies (Spark, Hadoop, etc)
Strong desire and proven ability to continuously learn new software, technologies and methodologies and keep up with the fast-evolving field of big data
Collaborative approach to work, working in teams towards delivering a business objective
Strong time management skills and ability to plan and prioritise over multiple requests
Self-starter, proactively identifying opportunities where analytics can add value and translating business requirements in analytical framework
Excellent communication skills with the ability to explain complex analytics to stakeholders
Show Less
Report"
"Moody's
3.7",Summer Intern,"London, England",£156K - £161K (Employer Est.),-1,10000+ Employees,1900,Company - Public,Research & Development,Management & Consulting,$2 to $5 billion (USD),3.3,3.4,3.6,3.3,3.7,"The Role
PA Cred Dflt Modlg Soltns is looking for an intern for a 10-week assignment.

The Department / Team:
Predictive Analytics, a division of Moody's Analytics, is a leading independent provider of economic, financial, country, and industry research designed to meet the diverse planning and information needs of businesses, governments, and professional investors worldwide. Our research has many dimensions: country analysis; financial markets; industrial markets; and regional markets. Moody's Economy.com information and services are used in a variety of ways, including strategic planning; product and sales forecasting; risk and sensitivity management; and as investment research.

Responsibilities:
Risk modelling, including the development, implementation, and validation of models using state of the art statistical and econometric techniques.
Econometric modelling and coding.
Documentation, including model specification, estimation and validation.
Internal and external presentations.
Qualifications:
Strong academic background – completed, pursuing, or planning to pursue Ph.D. or Masters in Economics, Finance, Statistics or Mathematics (or related subjects) from a top school is essential.
Strong programming skills in R required.
Experience in quantitative modelling is required.
Good written and excellent communication and organisational skills.
Good interpersonal skills and the ability to build strong professional relationships at all levels .
Team player.
Highly organised and efficient.
Excellent attention to detail.
Well-developed IT skills including Email, Word, Excel and PowerPoint.
PA OU
Moody’s is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, sexual orientation, gender expression, gender identity or any other characteristic protected by law.
Moody’s is a developmental culture where we value candidates who are willing to grow. So, if you are excited about this opportunity but don’t meet every single requirement, please apply! You may be a perfect fit for this role or other open roles.

Moody's is a global integrated risk assessment firm that empowers organizations to make better decisions.

At Moody’s, we’re taking action. We’re hiring diverse talent and providing underrepresented groups with equitable opportunities in their careers. We’re educating, empowering and elevating our people, and creating a workplace where each person can be their true selves, reach their full potential and thrive on every level. Learn more about our DE&I initiatives, employee development programs and view our annual DE&I Report at moodys.com/diversity
Start your job application: click Apply Now
Show Less
Report"
"FTI Consulting, Inc.
4.1","Consultant - Economics, Econometrics and Disputes | Economic & Financial Consulting","London, England",£156K - £161K (Employer Est.),"£44,457 /yr (est.)",5001 to 10000 Employees,1982,Company - Public,Business Consulting,Management & Consulting,$2 to $5 billion (USD),4.1,3.8,4.0,3.9,3.5,"About the Role

The Economic and Financial Consulting practice:

In FTI Consulting's Economic and Financial Consulting (EFC) practice, we help our clients navigate legal, regulatory and international arbitration proceedings while supporting strategic decision making and public policy debates around the world. Delivering incisive interpretation of complex economic issues has made us a global leader in this field. Our team includes economists, accountants, valuation professionals, MBAs and econometricians.

We work on varied and challenging assignments across a wide spectrum of industries and contexts. In particular:

We have significant expertise in the valuation of businesses, intellectual property, financial products, and other assets. We are the leading firm in the provision of expert evidence on valuation issues and the quantification of economic losses before courts and tribunals all around the world.
We also provide valuation services for commercial, reporting, and regulatory purposes, for example, in the context of licensing, investment appraisal, fiscal valuation, and transfer pricing. In financial services, we develop, review and implement strategies for the management of market and credit risks, liquidity and operational risk, litigation exposure and regulatory compliance.
In regulated industries, we use economic analysis, econometrics and network modelling to analyse pricing issues and we advise companies and government agencies on the effect of proposed policies.

The Economics, Econometrics and Disputes team:

We have a specialist team that employs economics, statistics/econometrics, financial analysis and data science to projects across these industries and contexts. We are looking to hire two experienced economists with 3-5 years of relevant work experience to work within this team.

We work on both advisory projects and contentious disputes. In particular, we:
Advise clients on complex and high-profile matters relating to business strategy, government policy and economic regulation; and
Support parties to a dispute, courts and arbiters in commercial litigation and international arbitration, including by assisting in the preparation of expert reports on matters of liability and damages.

We often work with colleagues across EFC and FTI, to provide economic and econometric analysis in support of other types of projects - so it is desirable that you are also familiar with finance and valuation.

What You'll Do

In general, experienced Consultants are involved in the full range of EFC's work and are central to our analysis and report writing. They are expected to be able to take responsibility for research and other gathering of information; managing and carrying out analysis; and reporting the findings in a clear, concise and structured way. They are responsible for the delivery of individual workstreams within projects, working alone or with others, and directing, supervising and reviewing the work of less experienced Consultants. They are centrally involved in analysis and the preparation of formal written reports.

Your responsibilities will include:

Assisting with scoping complex problems.
Suggesting and designing economic, statistical/econometric and data science analyses capable of addressing those problems.
Identifying data requirements and managing the process of collecting and processing that data.
Implementing and supervising those analyses using the appropriate tools.
Preparing PowerPoint slides, memorandums and formal written reports.
Assisting with the presentation and discussion of the results of these analysis with senior members of the team, and directly with clients; and
Contributing to business development.

How You'll Grow

We offer a competitive and attractive rewards package, excellent training and development, opportunities to work abroad, and a supportive and friendly environment that will help you to achieve your potential. The skills and experience you will develop with us will stand you in good stead for the rest of your career.

Qualifications & Experience

Travel required to clients and to FTI office(s).
A first-class or upper second undergraduate degree AND a master's degree in economics, statistics, econometrics, or computer science, from a university with a reputation for excellence in these subjects.
A PhD in economics or econometrics or a closely related discipline is desirable, but not required.
A genuine interest, ability and experience in applying economics, statistics/econometrics and data science to solve complex, unstructured problems.
A deep and intuitive understanding of the core principles in economics (especially microeconomics), statistics, and econometrics.
Significant post-graduation professional experience, in a role that requires the direct application of the above subjects. Examples include roles in economic consulting, economic research and policy analysis for a financial institution, government department, industry regulator, regulated firm or think-tank.
To be able to communicate effectively both orally and in written reports, to explain complex analyses in simple, intuitive, and non-technical terms.
Some project management/workstream management experience, including managing one or two junior staff.
Proficiency in Python, R or Stata, or a similar package that can be used for statistical and econometric analysis. Proficiency in Microsoft Word, Excel and PowerPoint.
Strong attention to detail; and
It is desirable that you also have a good understanding of the core principles of finance and accounting (especially in relation to valuation); and an ACA, CFA, or other relevant qualification.

#LI-CL1

#LI-CL1Our Benefits

Apart from the well-structured career path and excellent team environment, our employees enjoy a variety of perks and benefits. Our benefits include, but are not limited to:
Competitive salary and bonus plans
Generous paid holidays and paid time off
Annual paid volunteer hours
Corporate matching for charitable donations
Free snacks and drinks


About FTI Consulting

What makes us unique? With more than 6,250 employees located in offices in every corner of the globe, we are the firm our clients call when their most important issues are at stake. Regardless of what level you are, you will have the opportunity to work alongside and learn from top experts in your field on high-profile engagements that impact history. Our culture is collaborative, and we value diversity, recognition, development and making a difference in our communities.

FTI Consulting is publicly traded on the New York Stock Exchange and has been recognized as a Best Firm to Work For by Consulting magazine and one of America's Best Management Consulting Firms by Forbes . For more information, visit www.fticonsulting.com and connect with us on Twitter ( @FTIConsulting ), Facebook and LinkedIn .

FTI Consulting is an equal opportunity employer and does not discriminate on the basis of race, color, national origin, ancestry, citizenship status, protected veteran status, religion, physical or mental disability, marital status, sex, sexual orientation, gender identity or expression, age, or any other basis protected by law, ordinance, or regulation.

#LI-CL1

#LI-CL1
Show Less
Report"
"FTI Consulting, Inc.
4.1",2023 Future Leaders Internship | Economic & Financial Consulting,"London, England",£156K - £161K (Employer Est.),-1,5001 to 10000 Employees,1982,Company - Public,Business Consulting,Management & Consulting,$2 to $5 billion (USD),4.1,3.8,4.0,3.9,3.5,"What We Do
EFC are looking for analytical, collaborative and highly motivated students to join us for our Summer Internship programme in London from July to August 2023. This Future Leaders Internship programme is an in-person internship for those who self-identify as Black ethnic minority background with a strong interest in a career in economic consulting.

The purpose of this programme is to provide students who have been historically underrepresented in global business advisory firms with the opportunity to gain first hand experience and learn about our Economic Financial Consulting. This could lead to an offer of a graduate role. You will gain access to many experts and professionals to grow your network, including senior leaders. We are seeking students from a variety of degrees.

Our team of consultants come from a wide variety for academic backgrounds. At FTI they develop skills in economics and finance as well as drawing on their problem solving and analytical skills to answer a range of questions for high-profile clients.

We specialise in two main areas:
Providing valuation advice about anything from large public companies to patents and trademarks. We do all types of work, but in particular we are the leading firm in advising on valuation issues before courts and tribunals all around the world; and
Economic regulatory advice, where we apply economic theory and in-depth experience to offer advice to both regulators and regulated companies on a wide range of issues.

We have offices in cities across the world, with more than 250 staff worldwide. In London, our EFC practice has more than 150 people and each year we look to recruit at least 15 graduates from any degree background.

Examples of the questions our clients ask us
What impact did Uber have on the earnings of Black Cab drivers in London?
What is a fair way to distribute money to artists from steaming service royalties?
How much extra cost did the NHS incur because a generic drug was kept off the UK market by an invalid patent?
How much is the brand name of a premiership football club worth?
What is the value of an airport in South Africa?
Do US stock exchanges undervalue Chinese companies?
As part of the Foskett Panel, how much compensation should business owners receive after they were wrongly made to close by Lloyds Bank?
Does an econometric analysis of a European bank's share price indicate that it was affected by the release of inside information?
How large are the benefits of subsidising rural broadband networks in Europe?



What You Will Do
Our project teams perform industry research and develop the knowledge and experience to perform detailed economic analysis and financial modelling to solve interesting questions. They benefit significantly from working closely with managers and other team members in small teams, as well as from direct exposure to some of the top experts in the industry.

What We Offer You
As an intern, you will have the opportunity to apply your intelligence and analytical skills to stimulating economic, financial and business issues across many different industries. Our interns will have the opportunity to experience a variety of different projects across a range of industries.

#LI-NS2Requirements:
Applicants must self-identify as Black ethnic minority group historically underrepresented in the Professional Services industry
Have a strong desire to start your career in Economic Financial Consulting
Candidates must be interested in an 8-week internship during the summer of 2023 at our London office.
Numerate, logical and inquisitive team players from any degree subject
Ability to think independently and creatively
Candidates must be able to demonstrate their quantitative skills, whether academically or in other ways

Application requirements for this role

Candidates are advised that different roles at FTI Consulting have different application requirements. In order to be considered for this role, candidates must:
Upload their CV (cover letters and other documents are not required)
Answer the motivation question (provided when online tests are sent out) in less that 200 words

#LI-NS2
Show Less
Report"
"Bluetownonline Ltd
4.5",Telecoms Billing Analyst,"London, England",£156K - £161K (Employer Est.),"£33,193 /yr (est.)",1 to 50 Employees,2008,Company - Private,"Staffing, Recruitment & Subcontracting",Human Resources & Staffing,Unknown / Non-Applicable,4.2,4.6,4.4,4.3,4.4,"Job Title: Telecoms Billing Analyst
Location: London
Salary: Competitive
Job type: Full time, Permanent
Dataquest Group Ltd is a leading IT, Print and Telecoms Solutions company in the heart of the City of London.
You can find our offices in the middle of multiple transportation hubs, such as Liverpool Street, Old Street, Moorgate and Bank stations.
Our offices are open-plan with a friendly, social culture and a good, fun working environment. From our shareholders down we live the motto: ""work hard, play hard"", demonstrated by our social events held throughout the year.
We believe in creating an environment in which our people can thrive; we encourage everyone to maintain a healthy work/life balance, and we strongly believe in investing in our employee's future. We look for ambitious, driven and hardworking people to join our team.
The Role:
The core responsibilities of this role will be to process the monthly bill run accurately, along with monitoring profitability of accounts, generating a monthly commissions report and working closely with our Sales Team.
Your time will be spent on various day to day duties, some of these duties include - loading contracts, managing high spend alerts, providing reports to internal and external customers, and investigating any billing anomalies.
Interacting and communicating with our clients and other departments within Dataquest is also a vital part of the role, along with working together with your team members to build on current processes and integrate new products and services.
The Candidate:
Experience of working in a Telecoms Billing Analyst role is essential with an understanding of Mobiles and Telephony services
Tekton Billing Platform knowledge (Not essential but an advantage)
You should already be proficient in Excel and whilst not essential, experience of databases and SQL, or any other coding experience is an advantage.
You can demonstrate an understanding of CDR data, call rates and call classes.
You will be an excellent team player with a proactive mindset, and a passion for working together as a team to achieve goals.
Good prioritisation skills and an ability to work to tight deadlines.
Meticulous organisational skills and attention to detail.
Excellent communication skills (whether written or verbal) with an understanding of how to deliver outstanding customer service to our clients.
Please click on the APPLY button to send your CV and Cover Letter for this role.
Candidates with the relevant experience or job title of: Billing and Operations Analyst, Billing Analyst, Operations Analyst, Operations Coordinator, Billing Coordinator, Financial Analyst, Ops Analyst, Finance Analyst, Business Analyst, Technical Analyst, Group Finance Operations Analyst, Assistant Finance Manager, Senior Financial Assistant, Accounts Coordinator, Finance Associate, Group Finance Coordinator, Finance Specialist, Financial Accounting, Cost Controller, Accounts Controller, Accounts Analyst, CIMA, ACCA, Accounts Receivable, Accounts Payable, Sage50,Data Scientist, Data Solutions analyst, MI Analyst, MI Data Analyst, Business Insight Analyst, Data Insight Analyst, Data mining, Data modelling, Statistician, Econometrics, Data Modelling may also be considered for this role.
Overseas candidates will NOT be considered for this role. We are not sponsoring Visa's at this time, so please refrain from applying unless eligible to work in the UK
Show Less
Report"
"Mastercard
4.3","Analyst, Economist","London, England",£156K - £161K (Employer Est.),-1,10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD),4.1,4.1,4.4,3.9,4.2,"Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a
culture of inclusion
for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
Job Title
Analyst, Economist
Overview

The Mastercard Economics Institute’s mission is to drive macroeconomic thought leadership in support of Mastercard’s efforts to build a more inclusive and sustainable digital economy
The Economics Institute was launched in 2020 to analyze macroeconomic trends through the lens of the consumer to deliver tailored and actionable insights on economic issues for key customers, partners and policymakers.
In addition to global and regional macro-economic trends, the institute also produces thematic research on economic trends.
The institute constitutes a team of economists and data scientists that utilize & synthesize data sets both from within Mastercard and beyond to bring powerful insights to life
The institute delivers tailored 1:1 presentations, participates in key industry forums, and contributes to global thought leadership via thematic papers, organizing events and participating in media

About the role

We are looking for an economist who will focus on creating custom, interactive and actionable insights. This individual will report to the Senior Economist in EUR and have the following responsibilities:
Assist in developing and maintaining macroeconomic views for EUR
Support creation of briefing documents for Mastercard leadership teams and regional advisory boards
Support writing regular outlooks & blog-style research notes
Assist in creating content to represent Mastercard in customer forums, industry events, including media appearances as needed - on broadcast, print, online media - position us as an industry leader with highly differentiated capabilities
Help drive the story creation and presentation dashboards for each customer presentation to develop custom and actionable insights
Contribute to thought leadership for the region to better explore data and economic relationships
Collaborate with the data scientists/quantitative economists & thematic researchers to create interactive and tailored presentations
Work with the data science/quantitative economics team to explore alternative data sets, modeling and forecasting to push the boundaries in more traditional economics
Participate in all stages of the project from briefing to ideation to exploration of data, insights, storyboarding and final presentation

About you

A strong economist with an entrepreneurial mindset
Strong collaborator working across cross functional teams within the institute and the broader Mastercard teams
Evidence of both orthodox and experimental approaches in economic thinking, interpretation or application
Manage complex projects and timelines effectively and handling evolving situations fluidly
Must have good knowledge of econometrics and economic relationships
Familiarity with coding in SQL, R, Python, Tableau and other analytical tools
Openness to new ideas, approaches, challenges and environments
Corporate Security Responsibility
All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected that every person working for, or on behalf of, Mastercard is responsible for information security and must:
Abide by Mastercard’s security policies and practices;
Ensure the confidentiality and integrity of the information being accessed;
Report any suspected information security violation or breach, and
Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines.
Show Less
Report"
"Ortec Finance
4.2",Trainee for Junior Consultant Investment Performance (NL/UK),"London, England",£156K - £161K (Employer Est.),"£60,000 /yr (est.)",51 to 200 Employees,-1,Company - Private,Investment & Asset Management,Finance,$5 to $25 million (USD),4.2,3.4,4.2,4.1,4.3,"Are you up to the challenge of translating complex business requirements into software solutions? Are you interested in the world of investment? Do you have an affinity with mathematical modeling and/or databases as well as a drive to learn what is at the core of a question? Ortec Finance, a leading global fintech company offers a 7-month program that serves as an introduction to the essentials of consultancy, software development and data analytics. Upon completion of your traineeship, you will continue to develop your skills in one of the three Investment Performance teams that suits you best: Implementation, Client Servicing or Engineering.
The Investment Performance Solution
The Investment Performance department within Ortec Finance focuses on the development, sales, implementation and support of PEARL, our performance attribution software. PEARL enables our clients to conduct in-depth analysis to gain insights in the results of their investment decisions made within a complex investment process. With colleagues based in Toronto, London, Melbourne, Amsterdam and Rotterdam, our Investment Performance solution continues to attract a growing number of leading investment organizations worldwide. We work with large pension funds, asset managers and other global financial institutions, to provide insight on 4 Trillion Euros of assets.
What do we offer?
You will learn about all aspects of our daily operations, by being part of three different teams across 7 months. We offer this traineeship in the Netherlands and in the United Kingdom.
In the Global Client Support team, you will guide our clients in operating PEARL and address the most pressing requirements on a day-to-day basis.
In the Global Implementations team, you will support the onboarding of new clients by diving into their specific requirements and tailoring our software to meet their needs.
In the Engineering team, you will learn about our software development process, upgrades and building customizations, all based on Agile principles.
The program includes a variety of activities, such as:
Learning to measure and evaluate investment performance and reflect on what this means for investment decisions.
Develop an understanding of our clients (complex) investment processes.
Discuss and translate our clients’ needs to analysis in our software.
Provide support, advice and training to our clients.
Estimate, plan and develop new features.
Contribute to the testing and acceptance of implemented functionality.
If you want to learn more about the traineeship, please find here the experience of Alexandar Lalicic.
What’s in it for you?
We offer you a challenging and rewarding role in a growing company, while being part of an inspirational global business with a lot of opportunities for personal and professional career development.
The salary is depending on your job & competency profile and experience. In addition to a competitive salary, we offer you excellent benefits, including:
An open and informal work environment (Active staff association, annual ski trip, cozy drinks, annual summer, and Christmas party and much more) with inspiring, smart and enthusiastic colleagues
Opportunities to develop yourself with a training program and weekly research and knowledge meetings
Working from the office in Rotterdam, Amsterdam, or London (and also the possibility to partly work from your home office
The prospect of a permanent contract because we strive for a long-term collaboration.
Employees in the United Kingdom:
Participation in a bonus scheme, participation in the pension scheme with 10% contribution by Ortec Finance, private medical and dental cover, Group Life cover, good working from home arrangements, 27 vacation days (based on a full-time contract), and possibility to buy extra vacation days.
Employees in the Netherlands:
Fixed 13th month, 8% holiday allowance, participation in a bonus scheme, participation in the pension scheme, commute, and business travel allowance, working from home allowance, 27 vacation days and the possibility to buy more.
Who are you?
You are a strong communicator and interact easily with colleagues and clients. You possess the drive, skills and creativity needed to analyze requirements to their core, and to translate them into accurate development proposals. Also, you have the ability to understand use cases and the working processes of our clients. With your strong analytical skills, you are able to get to the core of their requirements and to place them into the correct context within the total solution. And of course, you recognize yourself in our core values.
In addition, the following aspects are important:
You hold a bachelor or master’s degree, preferably in an exact science (e.g. Econometrics, Computer Science, Applied Mathematics, or Physics)
Excellent verbal and written communication skills, in English (required) and Dutch (advantageous)
Basic knowledge of MS Office tools (Word, Excel, PowerPoint). Affinity with databases, financial modeling and/or design of web applications is considered an advantage
The same holds for experience within the investment industry and with performance or risk management in particular.
Who are we?
Working at Ortec Finance means working somewhere else. It means working in a world where colleagues meet, gather knowledge and where likeminded peers are always willing to help each other. Where the organizational culture is friendly, flat and non-political.
Working at Ortec Finance also means working in a continuously innovating world where science, academics and mathematics dominate, since models are key in helping Ortec Finance’ clients with complex financial decisions. Because that’s what we love: giving our clients the best advice possible. Where the daily job is very in-dept, based on evidence and relevant for society. It means a job that matters. Where the learning curve is steep; we learn something new every single day. And we need to, because continuously innovation is key. Especially in a fin tech world. We don’t necessarily follow all conventions. Because yes, we are a bit rebellious too.
Ortec Finance is the leading provider of technology and solutions for risk and return management. It is our purpose to enable people to manage the complexity of investment decisions. We do this through delivering leading technologies and solutions for investment decision-making to financial institutions around the world. Our strength lies in an effective combination of advanced models, innovative technology and in-depth market knowledge. More at www.ortecfinance.com.
More information or to apply?
For more information regarding this position please contact the HR department at +31 10 700 5000 or send an email to recruitment@ortec-finance.com.
So, do you want to join Ortec Finance? Please use the application button. Be creative if you want.
Apply now
We hope to meet you soon!
Show Less
Report"
