Company,Job title,Location,Salary,Salary estimate,Employees,Founded,Company type,Company industry,Company sector,Company revenue,Career opportunities,Comp & Benefits,Culture & Values,Senior Management,Work/Life Balance,Description
"Cord
3.8",Senior TypeScript React Software Engineer - Financial Planning,"London, England",£85K - £100K (Employer Est.),"£92,500 /yr (est.)",1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,4.2,3.9,3.8,3.5,"We are building a financial planning platform that enables teams to create products at scale and power digital channels to deliver compelling experiences in a dramatically faster fashion. As an Engineer, you will be responsible for building this cutting-edge technology framework that facilitates developer productivity without compromising on quality at enterprise scale.
We look first and foremost for people who are passionate about solving business problems through innovation and engineering practices. You’ll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. We welcome diverse perspectives and people who are not afraid to challenge assumptions. Our mission is to accelerate the pace of financial innovation and build new financial products for American Express. Our platform streamlines the process of launching and iterating on financial products.
Key Responsibilities:
Develop software individually and help improve the team
Define and implement components for consumer-facing applications
Implement application features in clear, easy-to-understand Typescript
Occasionally implement updates to Kotlin API endpoints
Develop automated tests for all new features and updates
Defect Fixes, Performance Testing, Endurance testing
Minimum Qualifications:
BS in Computer Science or equivalent
Experience writing software professionally at least eight years
A knack for understanding complex algorithms and applying them
Experienced giving code reviews and technical design feedback, with opinions on coding practices and methodologies
Must have demonstrated proficiency and experience in the following tools and technologies:
Typescript / JavaScript
React / Redux
Webpack, Webworkers, MaterialUI
Npm / yarn
Test Driven Development with jest, cypress, puppeteer, etc.
Modern software engineering tools: git workflows, mock frameworks
Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations.
Amex Flex (Hybrid Work Model) – providing greater flexibility to colleagues
Flexible Benefit Plan – Health, Life & Accident Insurance
Retirement Savings Plan
Parental Leave & Nursing Mothers Rooms
Backup and In-home Child and Elder Care
24/7 Mental Health Counselling
Wellness Centers & Health Living programs
Paid Time Off
100% Global Pay Equity
Career, Training and Learning – American Express Leadership Program, LinkedIn Learning, American Express & Harvard Leadership Program
Exclusive Deals and Discounts
Screening call with recruitment followed by a 2 stage interview process with the hiring team (Technology focused conversations)Typescript, React, ReduxTypescript, React, Redux
Show Less
Report"
"Cord
3.8",Typescript React Software Engineer - Financial Planning,"London, England",£85K - £100K (Employer Est.),"£70,000 /yr (est.)",1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,4.2,3.9,3.8,3.5,"We are building a financial planning platform that enables teams to create products at scale and power digital channels to deliver compelling experiences in a dramatically faster fashion. As an Engineer, you will be responsible for building this cutting-edge technology framework that facilitates developer productivity without compromising on quality at enterprise scale.
We look first and foremost for people who are passionate about solving business problems through innovation and engineering practices. You’ll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. We welcome diverse perspectives and people who are not afraid to challenge assumptions.
Our mission is to accelerate the pace of financial innovation and build new financial products for American Express. Our platform streamlines the process of launching and iterating on financial products.
How will you make an impact in this role?
Develop software individually and help improve the team
Define and implement components for consumer-facing applications
Implement application features in clear, easy-to-understand Typescript
Occasionally implement updates to Kotlin API endpoints
Develop automated tests for all new features and updates
Defect Fixes, Performance Testing, Endurance testing
Minimum Qualifications:
BS in Computer Science or equivalent experience
Experience writing software professionally at least eight years
Knowledge of complex algorithms and applying them
Experienced giving code reviews and technical design feedback, with opinions on coding practices and methodologies
Must have demonstrated proficiency and experience in the following tools and technologies:
Typescript / JavaScript
React / Redux
Webpack, Webworkers, MaterialUI
Npm / yarn
Test Driven Development with jest, cypress, puppeteer, etc.
Modern software engineering tools: git workflows, mock frameworks
Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations.
Amex Flex (Hybrid Work Model) – providing greater flexibility to colleagues
Flexible Benefit Plan – Health, Life & Accident Insurance
Retirement Savings Plan
Parental Leave & Nursing Mothers Rooms
Backup and In-home Child and Elder Care
24/7 Mental Health Counselling
Wellness Centers & Health Living programs
Paid Time Off
100% Global Pay Equity
Career, Training and Learning – American Express Leadership Program, LinkedIn Learning, American Express & Harvard Leadership Program
Exclusive Deals and Discounts
Screening call with recruitment followed by a 2 stage interview with the team (Technical focused conversations)Typescript, React, ReduxTypescript, React, Redux
Show Less
Report"
Doxa Partners LLP,Software Developer / Data Analyst,"London, England",£85K - £100K (Employer Est.),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Doxa Partners manages a large family investment fund and is seeking an entry level Software Developer and Data Analyst.
We work in our townhouse office in Mayfair, London, and have for over 10 years. Our clients have been entrepreneurs for nearly two centuries, and are now in their sixth commercially successful generation. We make wide ranging investments, including stocks, bonds, funds, private investments and derivatives. Our approach is empirical and structured (but flexible) and, increasingly, data driven. Given this, we are looking for an entry level graduate coder to work with our existing software team.
This role involves:
Maintaining and extending our systems
Our C# and JavaScript-coded Portfolio Management System (Okris): developing this to give greater automation and control over our investment operations
Our Python-coded systems: developing these to make and test hypotheses about our investment strategies
Working on additional coding or data analysis projects ad-hoc as required
Requirements:
Experience and evidence of developing in at least one of: Python, C#, JavaScript or Java
A STEM or economics Bachelor's degree
Available to work primarily in person at our London office
Our ideal candidate:
Has experience with each of Python, C# and JavaScript
Has experience using the Pandas library in Python
Has experience with querying and configuring SQL databases
Has experience using git code repositories
Shares Doxa’s Ethos of Stewardship, Discovery and Camaraderie
Has some knowledge of finance and accounting
Is curious about how the world works
Please register on our website to take our short arithmetic and comprehension test so we can swiftly assess successful candidates. If successful, we will request some evidence of one prior coding project you have worked on. If this is sufficient, we will follow up with a short audio interview, then a face-to-face interview.
We are able to sponsor successful candidates who require a Skilled Worker Visa.
Job Types: Full-time, Graduate
Schedule:
Monday to Friday
Work Location: One location
Show Less
Report"
"Robert Half
2.9",.NET Developer -Azure DevOps (Amazing Financial Company),"London, England",£85K - £100K (Employer Est.),"£95,000 /yr (est.)",10000+ Employees,1948,Company - Public,HR Consulting,Human Resources & Staffing,$2 to $5 billion (USD),3.0,3.0,2.9,3.0,2.9,".NET Developer -Azure DevOps (Amazing Financial Company)
Are you an engaging .NET Developer with experience with Financial Services experience? are you looking to work on a LARGE Greenfield Projects?
Are you a Problem Solver and really enjoy working within a super faced paced environment?
Do you want to innovate and grow with company which is going places?
We are looking for an Ambitious, Super Driven and Engaging Person!
The Role
We are an innovative, progressive team of 6 people who work closely with the projects team, business users, infrastructure teams and senior stakeholders in order to deliver high quality software that meets enterprise requirements on cyber-security, platform hosting and application monitoring and logging.
We follow a Kanban development process with engineering practices taken from XP. Development is in C# using Visual Studio 2022 and Azure SQL Server with iterations managed in Azure DevOps. We have a high degree of unit test automaton and release every week to production following rigorous peer-review, UAT testing and sign-off.
We are starting on a multi-year strategic plan to modernize and refresh our current technology stack moving on-prem backend webservices to Cloud-native microservice architecture and uplifting our existing desktop UI to modern web-based architecture using React.
Key areas of accountability
We are starting on a multi-year strategic plan to modernize and refresh our current technology stack moving on-prem backend webservices to Cloud-native microservice architecture and uplifting our existing desktop UI to modern web-based architecture using React.
Community of practice for data integration
Skill requirements - Essential
Expert level C#
Strong SQL and stored procedure development skills
Experience of developing and running applications in Microsoft Azure
Experience of ASP.NET MVC, HTML, JavaScript
Strong object-oriented development skills
Experience of working within a team of developers
Business focus with a desire to understand the business.
Skill requirements - Advantageous
REST API experience including deployment, security and orchestration
Web frameworks (e.g. React, Knockout and JQuery)
Windows Forms (WinForms) and WCF
Azure DevOps for work item management, source control and CI/CD
PowerShell experience
FIX experience, in particular using QuickFIX
Business knowledge of futures (especially LME), options and other exchange traded derivatives
Experience of regulatory reporting (e.g. MIFID, EMIR)
Interview Process:
1st Stage with the CTO on MS TEAMS -30mins- Discovery Virtual Meeting
2nd Stage with the management team and test
OFFER AND START ASAP
Outstanding Benefits on offer
Fast Track Career Progression
upto25% Bonus
Outstanding office location
25 Days Holidays
Robert Half Ltd acts as an employment business for temporary positions and an employment agency for permanent positions. Robert Half is committed to equal opportunity and diversity. Suitable candidates with equivalent qualifications and more or less experience can apply. Rates of pay and salary ranges are dependent upon your experience, qualifications and training. If you wish to apply, please read our Privacy Notice describing how we may process, disclose and store your personal data: roberthalf.co.uk/legal-information/privacy-notice.
Show Less
Report"
"NEC Software Solutions
3.6",Business Analyst (Software Development),England,£85K - £100K (Employer Est.),-1,Unknown,-1,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.2,3.5,3.2,3.6,"Company Description
Come join us and make a difference in the world!
We’re NEC Software Solutions (part of global tech giant NEC Corporation). While you read this ad, our software is helping to dispatch ambulances, support families, keep trains on the move, locate missing people and even test the hearing of new-born babies.
As a Business Analyst in our Government team, you’ll be joining 3,500+ colleagues across the globe and pushing the boundaries of what’s possible to deliver amazing public services.
We work with governments, hospitals, police forces, housing providers, local authorities and more. We help them pay financial support faster, speed up treatments for patients and respond to emergencies in the right way. The more we do, the more our customers can do for others. And together, we make a world of difference.
We’d love your help. And we’ll support you all the way.
Discover more at www.necsws.com
We are hiring Business Analysts at all levels throughout the business, from Associate through to Senior - please apply to this role with a cover letter outlining what level you would be looking for - and we can advise you on which of our roles could suit!
*Please note, we can only consider applicants that have lived in the UK for 5 consecutive years or more, due to our strict security clearance requirements*
Job Description
**Please note, this role can be fully remote, or Hybrid depending on your locality to our office - our ideal candidate would be able to work some of the week in Bracknell.
What you will be up to
As a Business Analyst in our Government team, you’ll build outstanding services for government departments and local authorities. Your role is based in our Bracknell office, but you might need to visit your customers too.
Your work will manage a diverse range of products following an iterative, Agile and customer-focused methodology.
It’s a key role with plenty of scope for growth, like the chance to enhance your skills and build your expertise interpreting client requirements.
In return, we offer a fun, diverse workplace with great benefits, excellent training plus some extra help if you need it. We care about your wellbeing so we even provide access to confidential services that offer financial advice and legal support to name but a few.

Your responsibilities:
You’ll be capturing and analysing logical system requirements from several sources to both create new technical services and improve existing business applications, all designed to support our customers in delivering their needs through understanding the business context of key requirements and documenting where required.
You’ll get a high degree of autonomy and will have active responsibility for the products and services you develop. You’ll ensure that it delivers on the user and business needs, and that it’s maintainable and robust.
Every day you come to work; you’ll make a difference to people’s lives.
Your experience:
Previous commercial Business Analyst experience
Rigorous analysis and elaboration of high-level system requirements
Articulation of user stories
Agile Scrum and Waterfall Delivery
Knowledge of End-to-end software development lifecycle
Exposure to customer support or user acceptance testing
Application of critical thinking processes
Interpretation and refining of customer needs
Presentation of highly complex scenarios
You’ll also need a clear and concise communication style and a willingness to learn.

Qualifications
Sound experience as a BA, preferably in a commercial or public sector software development environment
Strong experience working in a cross functional agile delivery team
Proven experience delivering through influencing others
Working knowledge of Agile planning, documentation, and tools such as JIRA
General understanding with business workflows, data domains and enterprise concepts
Bachelor's degree or equivalent business qualifications.
Professional oral and written communication skills in English
Demonstrated exceptional customer service skills
Organizational and user needs analysis skills
Critical thinking and problem-solving skills
Strong Microsoft Office skills (Word, Excel etc.)
if you’re excited about this role but your experience doesn’t align perfectly with every qualification indicated, we encourage you to apply anyway. You may be just the right candidate for this or other roles.
Additional Information
What we can offer you:
Private Medical Cover (with the option to add family members)
25 days paid holiday, with the option to buy/sell
4 x basic salary life assurance cover (with the option to increase cover at an additional cost)
Group Pension Plan with fantastic employer contributions up to a maximum of 8.5%
Fantastic selection of flexible benefits to suit your individual needs
Full access to LinkedIn Learning to support your professional development
Access to our wellbeing programme for confidential advice and support
Candidates must be able to demonstrate a pre-existing right to work and travel within the UK. Documentary evidence will be required.

All offers are subject to satisfactory vetting and reference checks. Depending on the nature of the role a Disclosure Barring Service (DBS) check may also be required.

NEC is an equal opportunities employer, welcoming applications from all communities.
Show Less
Report"
"Michael Page
4.3",".NET Developer - Financial Services (up to 80,000 GBP)","London, England",£85K - £100K (Employer Est.),"£65,000 /yr (est.)",201 to 500 Employees,-1,Company - Private,Security & Protective,Management & Consulting,Unknown / Non-Applicable,3.7,3.7,3.5,3.3,3.4,"Exciting .NET opportunity working for international banking
Excellent opportunity working in a flexible environment
About Our Client
Our client is a UK financial services company that is regulated and authorised by the UK Financial Conduct Authority ('FCA'). They provide specialist investment banking services, expert insights and innovative solutions in global capital markets in 20 cities across Europe, the Middle East and Africa (EMEA) including its regional headquarters in London.
Job Description
The successful .NET Developer - Financial Services candidate will have the following skills;
Strong background in C# programming
Experience with relational databases and SQL
Knowledge of financial markets and securities products
Ability to analyse information, understand business needs & requirements and derive the best possible systems solution


The Successful Applicant
The successful .NET Developer - Financial Services candidate will;


Track record of successfully working with software delivery teams
Exposure to Microsoft Azure technology, web development, .Net Core
Undergraduate level knowledge of computer science fundamentals
Experience in supporting live systems
What's on Offer
This is a truly amazing opportunity to work for a prestigious banking brand that will do wonders for your CV.
Contact
Doga Dogan
Quote job ref
JN-112022-5849103
Phone number
+44 207 645 1478
Show Less
Report"
"Oho Group
4.8",Junior Software Developer - Finance - Blockchain,"London, England",£85K - £100K (Employer Est.),"£45,000 /yr (est.)",1 to 50 Employees,2007,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.8,4.8,4.8,4.8,4.7,"Junior/ Graduate Software Developer - Finance - Blockchain - London - £30,000-£60,000

A Blockchain start-up who's aim is to resolve some of the most complex and difficult problems in data and financial markets are looking for Juniorsoftware developers to join their talented London team.

They are looking for Developers who are up for being part of and learning the full product life cycles from design, development, coding, testing, and more.

Desires:
A degree (minimum 2:1) from red brick univiersities
Demonstrable knowledge in one or more programming languages including C++/Python/Java/C#
Passion for technology which can be demonstrated in previous projects
Strong interpersonal and communication skills
Motivated to learn and develop


Apply now as interviews are being scheduled.
Show Less
Report"
"Robert Half
2.9",.NET Developer (Break into Banking!!) -London,"London, England",£85K - £100K (Employer Est.),"£75,000 /yr (est.)",10000+ Employees,1948,Company - Public,HR Consulting,Human Resources & Staffing,$2 to $5 billion (USD),3.0,3.0,2.9,3.0,2.9,".NET Developer (Break into Banking!!) -London
Are you looking to work in a leading Investment Manager? Do you want to learn from the best?
Why should you apply for this role?
You will get a chance to get Finance Experience!
You will get a chance to pick up a larger range of Business Systems and Applications! Front Office, Middle Office and Back office Systems.
You will be part of something BIG as they are looking to grow.
As they grow, they are looking for a .NET Developer, this will be a Hybrid Working Role.
HQ in London (Liverpool Street). They have a World Class Office with an onsite Café, Showers, Bike Store, Wine Cellar, Large TV, Roof Garden, Pool Table, Free Food and much more!
The .NET Developer will have a chance to be part of a larger team and get paid Training if they want to sit the CIMA or CFA exams!!!
What we are looking for:
Essential technical skills:
Knowledge of MS SQL Server 2008 / 2016 / 2019 or other relational databases
SQL querying and development
.Net C# application development with exposure to WPF / WCF
Understanding of software development covering the full development lifecycle and use of best practices (coding standards, accurate documentation, etc.)
Proficiency in use of Microsoft tools such as MS Excel, Visio, etc.
Experience of writing in scripting languages (such as PowerShell, Python, Batch)


Your responsibilities and activities will include.
Working in delivery streams (green field and existing) to extend and scale our platform in the cloud. This includes working on external and internal APIs, trading systems, payments systems.
Developing in an agile manner to extend and refine platform features, improve performance and support growth.
Collaborating with the team, sharing knowledge and conducting code reviews on PRs.
Writing and reviewing high quality code.
Contributing to the architectural design of an evolving micro-service architecture with cloud native aspirations.
Implement support for cutting edge cross channel customer engagement programmes.
Work in a mix functional and OO styles across a variety of systems.
Building a platform to a support a rapidly evolving global payments network.
Designing and exploring cloud architecture patterns for global scale.
Helping nurture a culture of DevOps by taking ownership of CI/CD pipelines and being actively involved in APM.
Having the opportunity to take on more responsibility and ownership with paths to team leading and beyond.

Personal Competencies, Culture and Career growth
A strong focus on adding business value and enhancing user experience.
An openness to learn, grow and drive
A Chance to be part of a future bigger UK team and be in a leadership level role.
Two Stage and Fast Turnaround process- *No Technical Test*
Amazing Benefits on offer
25 days Holidays

Generous Training Allowance Paid CFA or CIMMA Certification
Career Progression
Up to 30% Bonus!
15 % Pension!!
Robert Half Ltd acts as an employment business for temporary positions and an employment agency for permanent positions. Robert Half is committed to equal opportunity and diversity. Suitable candidates with equivalent qualifications and more or less experience can apply. Rates of pay and salary ranges are dependent upon your experience, qualifications and training. If you wish to apply, please read our Privacy Notice describing how we may process, disclose and store your personal data: roberthalf.co.uk/legal-information/privacy-notice.
Show Less
Report"
"Terra Quantum
4.5",Quantum Finance Researcher / Developer,"London, England",£85K - £100K (Employer Est.),"£75,956 /yr (est.)",51 to 200 Employees,2019,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,4.1,4.1,3.6,3.6,3.0,"Come build the future of quantum tech with us! We are looking for a Quantum Finance Researcher/ Developer to join Terra Quantum to help build algorithmic data driven investment models enhanced by quantum technologies, together we will be building next generation trading platform powered by Quantum.
The Role
This an exciting multi-faceted role with high responsibility and ability to make an impact. It blends quantitative research and development to create solutions at the cutting edge of finance through quantum, AI and HPC technologies.
The role is part of Terra Quantum's Quantum Solutions Development organization, which is responsible for building the toolchains and architecture for programming the hybrid Quantum-classical systems of the future. The role reports to the Head of Quantum Solutions Architecture supporting continuous Quantum Computing integration.

The Responsibilities
Develop highly sophisticated strategies that exploit various market inefficiencies applied to a broad variety of asset classes including global equities and/or ETFs, futures, currencies and options.
Build statistical models to test and and optimize strategies.
Applying an alignment of innovative methods in Applied Mathematics, Computer Science and Financial Economics
Partnering with architects, product managers, and application teams to enable leading quantum algorithm researchers
Closely follow Quantum academic researchers and developments integrating new research from optimisation, machine learning and simulation into Quantum Computing, AI and HPC architectures for sophisticated applications
Research, design and develop solutions to help with customer adaption and acceleration of Quantum Computing
Perform proof-of-concept and simulation development to evaluate and drive ground-breaking Quantum Computing research
The Requirements
The ideal candidate will possess a deeply technical background coupled with experience in financial markets.
Hybrid Quant Research/Quant Development background with knowledge of HFT/Algo trading and strategy development.
Hold a B.Sc., M.Sc., or Ph.D. in Computer Science, Electrical or Computer Engineering, Quantum Physics, Finance, Data Science, Applied Mathematics
6+ years of industry experience in financial markets and/or software development/ data science. Atleast 2+ years in a major Hedge fund, Investment bank, Trading firm, Fintech etc.
Background in algorithm design, system programming, and computer architecture. Experience developing compilers, libraries, tools or similar
Experience with High Frequency Trading from strategy to execution.
Ability to design investment strategies and algorithms. Systems design experience.
Knowledge of programming fundamentals, especially in C/C++, Python with a deep understanding of parallel computer architectures, high-performance computing (HPC) and distributed systems.
Experience with CUDA and GPU Computing and/or Quantum simulators or Quantum Computers
Experience with Quantum Computing and familiarity with basic uses in Optimization, Machine Learning and Simulation
Clear and customer-oriented agile and team-oriented mindset
Growth mindset, eager to learn and grow, initiative, drive, and energy
Advanced proficiency in written and spoken English – Other European language skills are a plus
Self-starter and driven, entrepreneurial flair, rebel mindset, comfortable with ambiguity and working at pace

The Rewards
We are an international team of quantum technology experts and dedicated business creatives that are working to bring quantum-enabled solutions to the global market. Our brilliant team members enjoy a high degree of freedom working remotely or joining one of our office spaces. We have a vibrant, enthusiastic, passionate and creative culture driven by trust, excellence and continuous improvement. If you join the Terra Quantum team, you can expect:
An opportunity to work with some of the brightest minds in the pioneering field of Quantum Technologies as well as an experienced and progressive Leadership team
Gain knowledge of some of the most cutting-edge technology developments in science & engineering
A chance to be part of one of Europe's leading technology firms of the upcoming decades
Welcoming, friendly, and professional colleagues
A personal development plan with clear goals for advancement
A competitive salary
A performance related bonus
Flexible working arrangements
A diverse and supportive atmosphere, where innovation and initiative are encouraged
If you are enthusiastic about positively impacting the world and helping to drive the second quantum revolution, let's talk!

Company description
Quantum technologies have the potential to solve some of the world's biggest challenges. There have been great advances in all areas of quantum technologies, and new fields of application are opened up every day. Hybrid computer systems that combine classic high-performance computing with quantum computers are already being used to develop solutions in sectors such as logistics, healthcare, finance, energy, automotive and aerospace. Quantum mechanical predictions are also used to obtain unprecedented precision in measurements, generate unbreakable codes, and form the basis of impenetrable communication networks. All these developments are happening right now, and they are happening at Terra Quantum.
At Terra Quantum we are building the world's leading Quantum Technology company. We offer customers world-class quantum technology expertise organized as ""quantum-as-a-service"": hybrid quantum algorithms, quantum compute and quantum enabled security solutions. Through the proprietary quantum cloud, customers have access to a unique technology platform which provides a toolset to solve real-world challenges in the realms of machine learning, optimization and simulation, today. In 2022, the company closed its Series A financing round with a $75m fundraise.
Quantum physics has, in some respects, parallels to the machine language of our computers-the zeros and ones into which our keyboard or touchscreen instructions are translated for execution in the computer-only on a larger scale: it is the machine language of the universe. The second quantum revolution is based on the control of individual quantum systems, such as individual atoms. We use quantum computers to solve currently unsolvable problems, simulate molecules and their interactions, find drugs for diseases that are not yet curable, find new materials, or make artificial intelligence stronger. Quantum is now.
Terra Quantum is a future-focused quantum services and technology company working on making the second quantum revolution a reality. Terra Quantum's activities span all areas, markets, and industries globally.
Our purpose is to pioneer quantum technologies to change the world for good,
Our vision is to lead the quantum revolution and be the trailblazer in technology solutions, shaping a better future for humankind to thrive in, and
Our mission is to unleash the power of quantum tech to deliver meaningful solutions today
Terra Quantum is an equal opportunities employer, committed to diversity, inclusion and employee well-being.
Show Less
Report"
Quantatative Ltd,Python Developer / Programmer Financial Markets,"Orpington, England",£85K - £100K (Employer Est.),"£28,000 /yr (est.)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Quantatative Ltd requires a Web Developer to develop stocks and shares presentation modules, algorithmic models and help develop trading strategies.
The position is based in London in the UK, and applications are sought from both the UK and abroad. Should an applicant from abroad be successful, a sponsorship VISA will be applied for by the company on behalf of the successful candidate.
Full training on interpreting financial results, market prices, and additional factors that may affect the price of a company's stock.
The successful candidate will be hard-working, numerate, adaptable and most importantly passionate.
Full training in understanding stock markets and financial websites will be given previous experience of stocks and shares trading is not essential.
Please do not apply unless you have at least 2 years previous programming experience in PYTHON.
Salary: Salary is negotiable and will be dependent on experience and ability.
Location: Greater London, Orpington (free parking on site, 16 minutes from London Bridge).
Job Types: Full-time, Permanent
Salary: £26,000.00-£30,000.00 per year
Schedule:
8 hour shift
COVID-19 considerations:
COVID-19 considerations:
We provide Hand sanitisers, separation screens, distancing and thermometers, and have separated the office in order to minimise contact.
Ability to commute/relocate:
Orpington, BR6 0NJ: reliably commute or plan to relocate before starting work (preferred)
Work Location: One location
Show Less
Report"
