Company,Job title,Location,Salary,Salary estimate,Employees,Founded,Company type,Company industry,Company sector,Company revenue,Career opportunities,Comp & Benefits,Culture & Values,Senior Management,Work/Life Balance,Description
UM for Network Rail,Level 4 Data Analysis apprenticeship scheme,"London, England",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Making evidence-based decisions matters
If problem solving and collecting data matters to you, you matter to us.
A Data Analyst Apprenticeship with Network Rail provides you with the chance to find out how data can be used in order to answer questions and solve problems. In your role, you will play a crucial part in helping to make decisions more evidence-based and, most importantly, help Network Rail operate more effectively.
Our Data Analyst Apprentices will be joined by experienced colleagues who will help you learn and develop. Once you work independently, you can apply your skills to help with the successful management of some of our biggest projects.
We offer generous study support with our apprenticeships and once you complete your qualification, there are multiple career options for you to further your development within Network Rail.
Overview
· You will begin with a competitive starting salary, and this will increase throughout the scheme as you develop.
· The scheme lasts for two years.
· You will be based in York , Doncaster , London
· The scheme will be a combination of online and classroom-based study.
Who you are matters
We’re looking for sharp thinkers and those with a curious mind. People who enjoy working in a team but are also confident to work alone with their own judgement to make decisions.
No one day will be the same in this role. You’ll be working in different areas and aspects of Network Rail as you learn about the future of the business and its contribution to the country.
At Network Rail, we invest in your future, exposing you to the different areas and aspects because you will play a key role in future of the organisation and its contribution to the country. In return, we respect individuals who are driven, hardworking and uphold Network Rail’s values and behaviours.
What you’ll be doing
You’ll get hands-on experience working across multiple projects which will help you develop an understanding of how evidence-based analysis plays a vital role in the running of Network Rail. You’ll become a pro in data handling and will be taught a range of analytical techniques to help identify and predict trends and patterns in data. You’ll play a key part in investigating and solving complex problems to prevent their reoccurrence. As data analysis is such a fast-moving environment, it’s imperative that you keep informed of industry trends including data languages, tools, software and lessons learnt elsewhere.
What you’ll get out of it
Once you’ve completed the Level 4 Data Analyst apprentice programme, you will have the opportunity to progress further within Network Rail.
The opportunities it leads to
Many of the apprentices further their career progression within Network Rail, taking on roles such as Planner or Programme Controls Manager.
Job Types: Full-time, Apprenticeship
Benefits:
Company pension
Cycle to work scheme
Employee discount
Free or subsidised travel
Life insurance
Schedule:
Monday to Friday
Supplemental pay types:
Bonus scheme
Work Location: One location
Expected start date: 01/09/2023
Show Less
Report"
"Macquarie Group Limited
4.3",Senior Analyst – Regulatory Affairs and Aggregate Risk (RAAR) – Stress Testing,"London, England",-1,"£66,229 /yr (est.)",10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),4.2,4.0,4.6,4.0,3.9,"Do you have an interest in understanding the risks faced by diversified financial institutions? Are you looking for a challenging role as part of a dynamic team? Join our Regulatory Affairs and Aggregate Risk (RAAR) team and play a key role in providing valuable insights across EMEA businesses and regulated entities risk profile and financial strength using the Enterprise-Wide Stress Testing frameworks.
As a member of the team, you will play a key role in the development of material components of our stress testing framework. You will have the opportunity to work with the risk frameworks that cover enterprise-wide stress testing, scenario design and risk identification; oversight of capital adequacy (ICAAP/ICARA), and climate risk scenario analysis.
The role offers plenty of exposure and you will have the opportunity to collaborate and connect with stakeholders in the EMEA region and globally, across the organisation. This will include with Macquarie’s operating businesses, Risk Management Group, Group Treasury, Finance, and senior management and entity Boards.
To be successful in this role, you will ideally bring the following key skills and experience:
Good knowledge of stress testing, and familiar with UK or EU regulatory requirements and guidance around stress testing and ICAAP or ICARA.
Experience in a related role or one which provides for transferable skills within a financial institution, consultancy practice, regulatory body or rating agency.
An academic background ideally with in a quantitative discipline, with an understanding of macroeconomics and risk management.
Keen and broad interest in financial markets, including current and prospective macro-economic, financial, commodity and asset management market trends.
Strong technical, analytical and programming skills (R, Python or similar) with the ability to communicate complex concepts to non-technical stakeholders at all levels.
A strong preference for working collaboratively with strong verbal, written, communication and presentation skills.
If this sounds like the opportunity to further build your career in finance than please apply via the link.
About the Risk Management Group
The Risk Management Group (RMG) is an independent, centralised unit responsible for ensuring all risk across Macquarie are appropriately assessed and managed. Its divisions include Behavioural Risk, Compliance, Credit, Financial Crime Risk, Internal Audit, Market Risk, Operational Risk, Regulatory Affairs and Aggregate Risk, and RMG Enterprise Support.
Our commitment to Diversity, Equity and Inclusion
The diversity of our people is one of our greatest strengths. An inclusive and equitable workplace enables us to embrace that diversity to deliver more innovative and sustainable solutions for our people, clients, shareholders and communities. At Macquarie, you'll be encouraged to be yourself and supported to perform at your best. If you're inspired to deliver on our purpose of ‘empowering people to innovate and invest for a better future’, we want you on our team. If you need adjustments made to the recruitment process, please reach out to your recruiter.
As an inclusive employer, Macquarie does not discriminate on the grounds of age, disability, sex, sexual orientation, gender identity or expression, marriage, civil partnership, pregnancy, maternity, race (including colour and ethnic or national origins), religion or belief.
Joining Macquarie means you’ll be able to work in a way that suits you best. With the right technology, support and resources, our people can work in a range of flexible ways. Talk to us about what working arrangements would help you thrive.

About Macquarie
A career at Macquarie means you’ll have the opportunity to develop and utilise new skills, explore interesting fields and do challenging work that will impact the lives of people around the world—whether it’s accelerating the green energy transition, helping sustain global food supplies, financing social housing projects or investing in essential infrastructure. At Macquarie, we’re empowering people to innovate and invest for a better future.
Our size and international presence means your work can take you anywhere—across business groups, disciplines, sectors and borders. With 18,000+ employees and offices in 33 markets around the world, we’re a truly global organisation.
You’ll be supported by a diverse team where the unique perspectives, ideas and experiences that all of our people bring are valued. You’ll be empowered to address unmet needs in our communities whilst advising and investing alongside our clients and partners. Working with us, you’ll have the opportunity to make a difference.
Macquarie is a global financial group providing clients with asset management, retail and business banking, wealth management, leasing and asset financing, market access, commodity trading, renewables development, specialist advisory, capital raising and principal investment.

Job no: RMG-970635
Work type: Permanent - Full time
Location: Dublin, London
Category: Junior, Risk Management
Group: Risk Management Group
Division: RAAR
Recruiter: Richard Dyson
Opening Date: 03/1/2023
Show Less
Report"
"MI5
3.2",Intelligence & Data Analyst Development Programme Registration of Interest,"London, England",-1,-1,201 to 500 Employees,-1,Government,National Services & Agencies,Government & Public Administration,Unknown / Non-Applicable,2.5,2.5,2.1,1.0,2.3,"MI5 and MI6 are part of the UK’s Intelligence Services. We work together to safeguard Britain’s people, interests and businesses from various threats at home, overseas and online. To do that, we rely on data. On our Intelligence Data Analyst Development Programmes in either agency you’ll see you don’t need to be a data expert to help protect the UK - just yourself. Our operations are hugely varied, which is why increasing the diversity of our people is needed more than ever before.
To protect the UK, we need people with different perspectives and backgrounds. There’s no one ‘type’ of person we recruit. You don’t need to have coding or programming skills, but you’ll have some experience analysing data and will be keen to develop your abilities further with our support and training. You’ll have (or be expecting) a 2:2 degree in any subject or have relevant work experience.
Relying on data, our Intelligence Analyst’s play a crucial role in keeping the country safe. It can be complex, but understanding it is key to the success of our operations. And if you think you know what sort of person works in data, think again. On our Intelligence and Data Analyst Development Programmes, you’ll see you don’t need to be a data expert to help protect the UK - just yourself.
We have opportunities available in either MI5 or MI6.
The programme at MI5 is based in London and begins with a 3-month training period, where you’ll learn more about the organisation and our processes. Then, you’ll do 3 different analyst postings right in the heart of MI5. Over the course of 5 years and beyond, you’ll develop your technical skills, work with tools that can’t be found anywhere else, and gain experience to support a fulfilling and rewarding career in analysis.
If you choose the programme at MI6, you’ll work for MI6 but be based in Cheltenham for the first two years before moving to London. You’ll join a multi-organisational analysis team, playing a vital role in turning raw data into intelligence to help keep our country safe. Your first six months on the programme will include a mixture of formal training in technical and analytical tools as well as on the job learning.
For more information, please visit the Intelligence and Data Analyst Development Programme on our website.
The application window for the Intelligence and Data Analyst Programme will open on 6th February 2023. In the meantime, we are looking for individuals who are from an Ethnic Minority background*, to register their interest in this forthcoming opportunity. As part of the registration of interest, you will be invited to an online event prior to the campaign opening.
Please note that a registration of interest does not constitute a job application, nor will such registration have any bearing upon the recruitment process itself. Any individuals who register their interest and who decide subsequently to apply to the Intelligence and Data Analyst Development Programmes, will need to complete an application form once the window for applications has opened.

We are confining registrations of interest to those from an Ethnic Minority background only, due to their current under-representation in our workforce. Once the application window has opened, we will welcome applications from all candidates, regardless of their ethnic background, gender, disability and/or any other characteristic(s). All applications will be assessed solely on merit.

Register your interest here.
Show Less
Report"
"Knight Frank
3.8",Insight Analyst,"London, England",-1,"£43,366 /yr (est.)",10000+ Employees,1896,Company - Private,Real Estate,Real Estate,$100 to $500 million (USD),3.5,3.2,3.6,3.4,3.5,"Reference No
27885

Job Title
Insight Analyst

Type
Permanent

Salary Range
Competitive

Division
Commercial

Sub Division
Business Services

Department
Data Office (10000136)

Location
55 Baker Street


Due to the rapid growth of digital and data capabilities within Knight Frank, an exciting new role has opened for an Insight Analyst to join the Data Office and be dedicated to the development of a centralised data function for our European Commercial offices.

You will be part of a team responsible for the development of services and processes to research, capture, cleanse, analyse and visualise Real Estate data for both internal use and for clients.

The role will require someone who has an analytical background, experience using analytical technology and can demonstrate how to consolidate multiple datasets and present them in a compelling manner.

You will have a good degree of commercial acumen, excellent communication skills and ideally a working knowledge of French, Spanish or German. This role would primarily be based in Baker Street with some occasional European travel.

So, if you have the tenacity to see through complex problems as well as the vision and spontaneity to contribute new ideas that gain traction within the business and wider stakeholders, then this role is for you.

Responsibilities:

Working within our Data Office to extend and deepen Knight Frank’s data journey to assess, capture, manage, and extend our data and reporting capabilities for European Commercial offices
Understanding the client, the market and how to leverage data to support client needs and create business generation opportunities
Managing and communicating to stakeholders to deliver business process improvements
Providing data reporting to analysts to improve data quality
Analysing / cleansing complex datasets
Working with a degree of independence on bespoke projects and to be able to work with other members of the Data Office on wider projects
Leading the data charge for the European Commercial offices
Automating processes to deliver constant updating and reporting enhancement
Training junior members of the Data team to enhance their technical skills
Collaboration with Clients and internally with Research to capture and automate high-quality and timely data

Skills & Experience required:

Ideally a second language - French, Spanish or German.
A University degree ideally 2:1 and above (or equivalent).
Preferably experience of Real Estate data and other data sets
A strong and demonstrable capability to simplify complex datasets and to build compelling visualisations
Strong business acumen and ability to stay up-to-date with current market and industry trends
Ability to manage stakeholders and to translate technical jargon into language understood by all
Excellent presentation and communication skills
An in-depth knowledge of 2 or more of the following (or similar): SQL, Tableau, Power BI, Alteryx, R, Python, Microsoft Power Apps

#3 #LI-SP1
Show Less
Report"
"Royal Mail Group
3.3",Data Analyst,"London, England",-1,-1,10000+ Employees,-1,Government,National Services & Agencies,Government & Public Administration,$10+ billion (USD),2.6,3.2,2.7,2.3,3.3,"Job reference number 292386
£30,000 - £35,000 per annum (subject to experience), 6% bonus potential and pension scheme
22.5 days annual leave plus bank holidays
Full time, 37.5 hours per week
Permanent
Remote Working

With over 2,600 sites, Royal Mail Group (RMG) has one of the largest corporate real estate and property portfolios in Europe. With a such large estate, the waste generated is immense; from food waste, recycling material to fleet and hazardous waste, we need to control and reduce our waste and data is one of the key factors to achieving this.

Royal Mail Property & Facilities Management (PFSL) have a vacancy for a Data Analyst who will support the Waste Contract Manager in providing robust, accurate and timely reports relating to waste.

The role
As a key member of the Facilities Management (FM) within FM Operations, you’ll provide a comprehensive data analysis and reporting service to the Environmental Team in relation to Royal Mail waste output. The majority of the data is via 3rd Party contracts which needs to be reported centrally to meet regulatory and environmental commitments.

In this key role, you’ll be accountable for the collation, compilation, dissemination and reporting of data with an intention that when better understood and managed, the waste volumes can be reduced or moved up the waste hierarchy with a preference for increased re-use or recycling.

You’ll work with several providers to ensure regular accurate reporting and identify areas of opportunity to reduce costs, increase recycling income or reduce overall volumes. Providers include a range of services that generate waste from their operations on RMG premises including waste disposal companies, grounds maintenance, drainage maintenance, confidential waste contractors and catering providers.

Other accountabilities include:

Accountable for the quality and integrity of waste management data by weight, cost, and waste stream type submitted to PFSL and the rest of Royal Mail Group.
Become the subject matter expert on waste data and support RMG in meeting its stated targets for waste reduction.
Build relationships with similar role holders in 3rd party providers to improve the flow of information and develop more useful and usable data.
Carry out site visits and audits to ascertain the effectiveness of PFS Ltd third-party supply chain services and the data they produce with input from operational colleagues and RM customers.
Be flexible in your approach and able to adapt, manage and where necessary drive supplier activity and reporting changes.

Location
Remote working with ad hoc travel to UK sites as and when required.

About you
You need to demonstrate the following skills and experience on your CV:


A Numerate Degree or Relevant Numerate Technical qualifications at or above NVQ level .
Extensive Excel experience at an advanced level for the analysis of data and production of reports.
Demonstrable experience of detailed data handling in a corporate environment.
Experience in using analytical software to mine data and produce reports.
Comprehensive analytical skills, with the ability to review and analyse performance data. budget information etc to identify and implement improvements.
Strong presentation skills and communication, with the ability to effectively create and deliver effective written reports and verbal presentations.
Desirable Sector Specific knowledge for waste and recycling management.
Proven track record of working at pace and the ability to meet targets and deadlines.
Skills in working with 3rd parties to obtain, interrogate and query the supply of data.

Closing Date: Monday 30th January. Please note, this advert may close early if the appropriate number of applications has been reached.
Interview Dates: We plan to hold the first stage interviews on the 10th/13th February

About Us
Royal Mail Property & Facilities Solutions is responsible for upgrading and safely maintaining one of the largest corporate real estates and property portfolios in Europe, with over 2,600 sites.

We pride ourselves in working to the highest standards of both technical assurance and customer service. It’s our job to support Royal Mail in being the best delivery company in the UK and that it is fit for delivering to 29 million addresses nationwide, six days a week.

Through our core delivery pillars of Real Estate & Value Generation, Property Programmes & Projects, and Workplace Services, Royal Mail Property & Facilities Solutions plays a key role in keeping the mail moving.

Royal Mail Property & Facilities Solutions employs 3000 employees and is owned by Royal Mail Group Ltd.

.
#RMG #LI-POST
Show Less
Report"
"Ameriprise Financial
3.9",Business Systems Analyst,"London, England",-1,"£66,297 /yr (est.)",10000+ Employees,1894,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),3.7,3.5,3.9,3.6,3.7,"Job Description

Where you’ll fit in & what our team goals are…

The position supports initiatives specific to investment performance measurement and analysis. It involves business analysis, system support and maintenance. Lead initiatives from design through implementation and monitoring. Be the liaison between business leaders, staff, utility functions, and at times external parties to ensure information exchange and to accomplish department objectives.

Responsibilities

How you’ll spend your time…

Ongoing team responsibilities include:
Lead and participate in project-oriented initiatives to meet the objectives of the performance analytics department either in a team or self-directed environment, such as improvements impacting performance data, systems, and processes. Ensure thorough documentation of work processes are in place and maintained.
Act as liaison among business leaders, staff and utility functions to gather information, share best practices, and ensure initiatives are well executed. May be called on to manage projects across multiple business areas.
Partner within operations, technology, and vendors to ensure data quality and to identify and resolve issues related to performance data and reporting. Manage multiple relationships across the organization, including external vendors.
Utilize and understand general and advanced performance measurement concepts and methodologies.
Influence and regularly interact at all levels of the organization, including Senior Management, Portfolio Managers, Marketing Professionals, and Legal/Compliance Professionals.
Operate BAU processes across Performance Team, including oversee data loads, running monthly control dashboards, management of new accounts.
Facilitate and manage Polices and Procedures for the Performance Team, working with members to create and update them.

Required Qualifications

To be successful in this role you will have…

Degree Educated, or equivalent work experience
Solid work experience in investment management or financial services
Strong knowledge of investment concepts
Critical thinker with strong problem solving skills
Excellent verbal and written communications skills
Strong organizational skills
Ability to work independently
A strong team player who is able to successfully meet deadlines
High proficiency with Microsoft Office Tools, such as Microsoft Excel and Access

Preferred Qualifications

If you also had this, it would be great…

Advanced knowledge of performance measurement concepts
Work experience specific to performance measurement and analytics
Proficient with data and report automation
Advanced experience with performance systems, such as FactSet, Fundstation, Wilshire iQ, Morningstar, and/or Lipper

About Our Company

What working at Columbia Threadneedle offers….

Working at Columbia Threadneedle Investments you’ll find the promise we make to our clients is the same one we make to our employees: Your success is our priority.

Here, you’ll find growth and career opportunities across all of our businesses. We’re intentionally built to help you succeed. Our reach is expansive with a global team of 2,000 people working together. Our expertise is diverse with more than 450 investment professionals sharing global perspectives across all major asset classes and markets. Our clients have access to a broad array of investment strategies, and we have the capability to create bespoke solutions matched to clients’ specific requirements.
Show Less
Report"
"Amnesty International UK
2.5",Data Analyst,"London, England",-1,"£44,682 /yr (est.)",201 to 500 Employees,1961,Non-profit Organisation,Grantmaking & Charitable Foundations,Non-profit & NGO,Unknown / Non-Applicable,1.8,3.4,2.3,1.9,3.8,"Contract Details
Permanent
Salary
£44,682 (includes London weighting)
Weekly Hours
35 with flexibility options
Location
London EC2A / Hybrid in the UK
Application Deadline
Wednesday, February 22, 2023
Interview Date
07 March 2023
Job Summary
Amnesty International UK (AIUK) has a simple aim: an end to human rights abuses. Independent, international and influential, we campaign for justice, fairness, freedom and truth wherever they are denied. Do you want to use your skills, knowledge and experience to help change the world? You could be our new Data Analyst.


About the role
The Data Analyst is responsible for providing the insight, reporting and learnings to evaluate the effectiveness and inform the direction of Amnesty International UK’s marketing and campaigning activities. The role is also responsible for managing the extraction of mailing and other contact data for AIUK’s supporter communications.
The Data Analyst is also required to produce reports and dashboards, ensuring that data analysis findings are communicated to key stakeholders across the organisation in an engaging and impactful manner.
We’re looking for someone who is passionate about drawing insights from data and is keen to use their analytical skills to maximise the impact of our campaigns to end human rights abuses.
More details can be found by downloading the job description from our careers portal.


The role may be for you if:
You have undertaken analysis and reporting to inform decision making in a fundraising or marketing context
You can develop and maintain reporting and dashboard solutions.
You collaborate and positively contribute to an inclusive culture.
You have a good knowledge of relational databases and a range of data analysis tools and techniques such as SQL, R and Python.
You can inclusively communicate statistical and technical findings in an easy-to-understand manner.


Our Commitment to you
Inclusion, Diversity, Equity, and Anti-Racism (IDEA) are at the core of our values. We want to be an organisation that tackles structural inequality and prejudice as well as be an actively anti-racist organisation. This means taking a meaningful and equitable approach to supporting and developing you and others during your time with us.
New colleagues receive 27 days leave annually (29 after five years), as well as bank holidays (pro rated for part time). 2-5% employee pension contributions are matched at 6-9% and we offer 6 months full pay for family leave. We offer flexible working such as compressed work patterns and job shares. See more details of our benefits here.
Apply for this role
The vacancy may be closed earlier than advertised if a high standard of applications is received. If you wish to be considered for the role, avoid delay in submitting an application.
We welcome applications from everyone and particularly encourage applications from people from an ethnic minority background, and people with a disability to help us achieve a balanced representation in our workforce, especially at senior grades.
To reduce bias in our shortlisting process, AIUK operates an anonymised application process. If for any reason you prefer to apply in a different format, or require adjustments in the process, please get in touch. We are a disability confident organisation. More details of inclusion in the AIUK recruitment process can be found here.
Show Less
Report"
"Opencast Software
4.7",Data Analyst,"London, England",-1,"£60,000 /yr (est.)",201 to 500 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.7,4.6,4.9,4.7,4.7,"The role
We are looking for a data and insights analyst who will be responsible for the collation, analysis and visualisation of data. You will generate insight and communicate the story behind the data. Harnessing the power of data is crucial to the growth aspirations at Opencast, this role will provide insight that enables the business to problem solve and discover areas of opportunity.
You will share your knowledge and expertise with the wider business and promote a culture of data led decisions.
You'll suit this role if you:
Have previous experience working within a data analysis or insights role
Take a proactive approach not only using data to identify problems but working with others to recommend potential solutions
Have experience importing data and building reports with data visualisation tools such as Power BI / Tableau / Workday (Prism Analytics) / QlikView
Be experienced in data processing tools such as Excel, VBA, SQL, Python, R etc
Can listen to the needs of stakeholders (technical and non-technical) and can tailor your communication style to your audience
Can present, communicate, and disseminate data appropriately and with high impact
Share your knowledge and experience of these skills with others, including tools and techniques
valid Security Clearance or eligibility (5+ years residency in the UK)
Salary
Based upon individual skill / experience level, and where this aligns against our competency framework:
Consultant: £45,000 - £55,000
Senior Consultant: £56,000 - £75,000
About Opencast
Opencast is an ambitious, successful, and growing technology consultancy. We pride ourselves in the qualities of our people. We're inclusive, creative, and collaborative – don’t just take our word for it, look us up on Glassdoor!
It's an exciting time to join us on our journey as we grow and expand our services to help our clients tackle bigger, more complex challenges. We plan to treble the size of our team by 2025 — but we’re determined not to lose our unique culture.
You'll enjoy life at Opencast if you:
you want to join an ambitious, growing consultancy
you believe in inclusivity, creativity, and collaboration
are brave enough to ask the right questions and do the right thing
work flexibly and don't like stiff hierarchy
Want to find out more?
Visit our website to find out more about us, our work and the benefits of joining us.
If you’d like to talk directly about this role with the people leading our services, visit the Contact section of the website. We’re keen to chat!
Job Types: Full-time, Permanent
Salary: £45,000.00-£75,000.00 per year
Benefits:
Casual dress
Company events
Company pension
Flexitime
Referral programme
Sick pay
Store discount
Work from home
Schedule:
Monday to Friday
Work Location: Hybrid remote in LONDON
Start your job application: click Apply Now
Show Less
Report"
"Change Grow Live
3.4",Data Analyst,"London, England",-1,"£40,200 /yr (est.)",1001 to 5000 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,3.2,3.0,3.2,2.6,3.2,"Overview:
Change Grow Live are a charity dedicated to the belief that we can make a difference to our Service Users lives, offering support and respect in a safe environment, treating each user as an individual and working with them to find the right treatment and care options.

Our core values are ‘Be open, be compassionate and be bold’ and our team members apply these daily to achieve our mission of helping people change the direction of their lives, grow as individuals, and live life to its full potential.

As a data analyst you will ensure the collection, collation, input, recording, analysis and reporting of data is performed to the highest standard. You will provide expert advice, support and analysis to a range of stakeholders, including Service Managers, Regional Directors, Commissioners, and other Executive functions such as Clinical, Quality, Governance and Innovation.

This is an excellent opportunity for someone looking to take the next step in their career with a charity that will support your continued personal and professional development.
Responsibilities:
Where: One of our London services

When: We are looking to get the right person into the team ASAP
What we will give to you:

25 days holiday (+ bank holidays) rising by 1 day for each years’ service
Flexible working arrangements
Paid ‘Wellness’ hour each week along with a ‘Wellness’ hub and Employee Assist Programme
Contributory pension scheme
A great selection of benefits incl. discounts for shopping, cinema, holidays, etc.
A friendly and supportive team
Training, career development & progression opportunities

About the role:
To use data that contributes to service user safety and maximise outcomes.
Ensure timely submissions to the applicable National Drug Treatment Monitoring System (NDTMS) datasets ensuring highest data quality.
To produce reporting external audiences (including commissioners).
To produce regular and ad hoc data, analysis and reporting for internal requirements.
To support the wider contracting and performance management requirements and that information is shared and disseminated in a professional and timely manner.

About you:
Advanced knowledge of Microsoft Excel.
Experience of maintaining information systems.
Experience of managing large datasets and analysis.
Experience of developing data processes and systems.
Highly IT literate with good knowledge of Microsoft Office applications.
Previous experience of working with NDTMS.
Knowledge of the management of data in health and social care sectors, including substance misuse

Please read attached Job Description and Role Specifics for a more detailed outline of responsibilities and Person Specifications

If this sounds like you and you’d like to begin your journey with Change Grow Live, then we’d love to talk to you.
Please note: This post is subject to a Disclosure and Barring Service (DBS) check

Salary Range (pro rata if part time)
CGL points 26 to 30 (£28,547.65 - £32,412.09)
ILW / OLW /Fringe
London Weighting applies (£3,915.44 - £2,080.07)
Closing Date
31/1/2023
Interview Date: 07/2/2023

This post is subject to a Disclosure and Barring Service (DBS) Scheme check at a basic level.

Apply
Email this job to a friend
Share this vacancy on your newsfeed
We believe that having diverse people working as part of our team makes us the organisation that we are.

We actively encourage applications from people from all backgrounds to help us to provide the best possible experience for the people who use our services and to make Change Grow Live a great place to work. If you have any feedback on our recruitment processes (good or bad) we’d love to hear from you so that we can make sure they are fair and we attract and recruit the best, most diverse workforce possible.

The safety of vulnerable children, young people and adults is our absolute priority. We will support you in your role to make sure that you are equipped to support the safety of people who use our services and those around them, to the highest standard possible.

Salary Range (pro rata if part time): CGL points 26 to 30 (£28,547.65 - £32,412.09) ILW / OLW /Fringe: Inner London Weighting (£3,915.44) Interview Date: 7/2/2023 Closing Date: 31/1/2023 If you have any questions on this opportunity that you would like to talk through please contact us using the below details:: Danielle Diovisalvi | Danielle.Diovisalvi@cgl.org.uk : This post is subject to a Disclosure and Barring Service (DBS) Scheme check at a basic level.
Show Less
Report"
Alpha Academic,Junior Data Analyst,"London, England",-1,"£29,547 /yr (est.)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"In this role, you will:
apply tools and techniques for data analysis and data visualisation (including the use of business information tools)
identify, collect and migrate data to and from a range of systems
manage, clean, abstract and aggregate data alongside a range of analytical studies on that data
manipulate and link different data sets
summarise and present data and conclusions in the most appropriate format for users
Job Types: Full-time, Permanent
Salary: £19,737.43-£39,357.48 per year
Benefits:
Flexitime
Work from home
Schedule:
8 hour shift
Monday to Friday
Supplemental pay types:
Bonus scheme
Ability to commute/relocate:
London: reliably commute or plan to relocate before starting work (required)
Work Location: Hybrid remote in London
Show Less
Report"
